"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"	"Highlight"	"reference"
"JN.1*"	0.08047407	0.07219	0.08876	5305	"Ontario"	0	"HV.1"
"JN.1.9*"	0.08042519	0.05729	0.10356	35	"Alberta"	0	"HV.1"
"BA.2.86*"	0.07962598	0.07137	0.08789	5531	"Ontario"	0	"HV.1"
"JN*"	0.07959403	0.07133	0.08786	5519	"Ontario"	0	"HV.1"
"JN.1.4.3"	0.0794769	NA	NA	13	"Canada"	0	"HV.1*"
"JN.1.18"	0.07942282	0.0617	0.09715	60	"British Columbia"	0	"HV.1*"
"JN.1.22"	0.07906593	0.07144	0.08669	756	"Canada"	0	"HV.1*"
"JN.1.11.1"	0.07853752	0.04873	0.10835	13	"British Columbia"	0	"HV.1*"
"JN.1.20"	0.0776409	0.06035	0.09493	26	"Canada"	0	"HV.1*"
"JN.1.4*"	0.07726666	0.07176	0.08277	2478	"Canada"	0	"HV.1"
"JN.1.9"	0.07700393	0.05357	0.10044	32	"Alberta"	0	"HV.1*"
"JN.1.4"	0.07700343	0.0715	0.08251	2437	"Canada"	0	"HV.1*"
"JN.1.5"	0.07672141	0.06437	0.08907	78	"Canada"	0	"HV.1*"
"JN.1*"	0.07644929	0.04941	0.10349	457	"Nova Scotia"	0	"HV.1"
"JN.1.1"	0.076198	0.06376	0.08863	345	"Ontario"	0	"HV.1*"
"JN.1.1*"	0.075932	0.06358	0.08829	349	"Ontario"	0	"HV.1"
"BA.2.86*"	0.07592862	0.04886	0.10299	469	"Nova Scotia"	0	"HV.1"
"JN*"	0.07585307	0.04885	0.10286	468	"Nova Scotia"	0	"HV.1"
"JN.1.22"	0.07528138	0.04094	0.10963	244	"Quebec"	0	"HV.1*"
"EG.5.1.8"	0.075213	0.04552	0.10491	22	"Ontario"	0	"HV.1*"
"KB*"	0.075213	0.04552	0.10491	22	"Ontario"	0	"HV.1"
"JN.1.8.1"	0.07473056	0.0626	0.08686	267	"British Columbia"	0	"HV.1*"
"JN.1.8*"	0.07453122	0.06246	0.08661	274	"British Columbia"	0	"HV.1"
"JN.1*"	0.07430919	0.04468	0.10394	838	"Quebec"	0	"HV.1"
"JN.1.4*"	0.0741163	0.06074	0.08749	271	"Alberta"	0	"HV.1"
"JN.1.4*"	0.07408248	0.06377	0.0844	637	"British Columbia"	0	"HV.1"
"BA.2.86*"	0.07407806	0.04441	0.10375	846	"Quebec"	0	"HV.1"
"JN*"	0.07403712	0.04436	0.10371	845	"Quebec"	0	"HV.1"
"JN.1.4"	0.07387923	0.06048	0.08728	257	"Alberta"	0	"HV.1*"
"JN.1.4"	0.07365794	0.06335	0.08397	626	"British Columbia"	0	"HV.1*"
"JN.1.8*"	0.07329715	0.05834	0.08826	94	"Ontario"	0	"HV.1"
"JN.1"	0.07322615	0.06835	0.0781	6705	"Canada"	0	"HV.1*"
"JN.1*"	0.07239349	0.06784	0.07695	13579	"Canada"	0	"HV.1"
"JN.1.4.2"	0.07235309	0.05511	0.08959	22	"Canada"	0	"HV.1*"
"JN.1*"	0.07194207	0.06278	0.0811	3581	"British Columbia"	0	"HV.1"
"JN*"	0.07057614	0.06607	0.07508	14415	"Canada"	0	"HV.1"
"BA.2.86*"	0.0705307	0.06603	0.07503	14433	"Canada"	0	"HV.1"
"JN.1.9"	0.07017765	0.05156	0.08879	42	"British Columbia"	0	"HV.1*"
"JN.1.9*"	0.07017765	0.05156	0.08879	42	"British Columbia"	0	"HV.1"
"JN.1"	0.06972995	0.06008	0.07938	1760	"British Columbia"	0	"HV.1*"
"JN.1.21"	0.06897481	0.04869	0.08926	15	"Canada"	0	"HV.1*"
"KQ*"	0.06850439	0.04999	0.08702	18	"Canada"	0	"HV.1"
"JQ.2"	0.06826878	0.04483	0.0917	11	"Canada"	0	"HV.1*"
"JN.1.22"	0.06815804	0.04705	0.08927	37	"Alberta"	0	"HV.1*"
"BA.2.86.1"	0.06763547	0.04811	0.08716	55	"Ontario"	0	"HV.1*"
"JN.1.11"	0.06746864	0.04774	0.0872	18	"Canada"	0	"HV.1*"
"KR*"	0.06696359	0.04422	0.08971	11	"Canada"	0	"HV.1"
"JN*"	0.06616374	0.05744	0.07489	4042	"British Columbia"	0	"HV.1"
"BA.2.86*"	0.06616374	0.05744	0.07489	4042	"British Columbia"	0	"HV.1"
"JN.2.5"	0.06563219	0.05822	0.07304	519	"Canada"	0	"HV.1*"
"XDD"	0.06400768	0.04894	0.07908	37	"Canada"	0	"HV.1*"
"JG.3*"	0.06346365	0.03566	0.09127	52	"New Brunswick"	0	"HV.1"
"JG*"	0.06346365	0.03566	0.09127	52	"New Brunswick"	0	"HV.1"
"XDD*"	0.06332283	0.04842	0.07822	38	"Canada"	0	"HV.1"
"JN.1.8"	0.06178908	0.05108	0.0725	99	"Canada"	0	"HV.1*"
"JN.1.9*"	0.06111315	0.05195	0.07028	167	"Canada"	0	"HV.1"
"JN.1.9"	0.06023297	0.05102	0.06944	163	"Canada"	0	"HV.1*"
"JN.2*"	0.06007437	0.04533	0.07482	137	"Ontario"	0	"HV.1"
"HK.19"	0.05962815	0.03767	0.08158	13	"Canada"	0	"HV.1*"
"JN.1.2"	0.05919302	0.04807	0.07032	439	"Ontario"	0	"HV.1*"
"JN.1*"	0.05912072	0.05001	0.06823	2383	"Alberta"	0	"HV.1"
"JN.1.9*"	0.05898311	0.04284	0.07513	84	"Ontario"	0	"HV.1"
"JN.1"	0.05895085	0.04937	0.06853	1478	"Alberta"	0	"HV.1*"
"JN.1.9"	0.05845325	0.0423	0.0746	83	"Ontario"	0	"HV.1*"
"JN.1.1*"	0.05799357	0.05163	0.06436	919	"Canada"	0	"HV.1"
"JN.1.1"	0.0577459	0.05134	0.06415	903	"Canada"	0	"HV.1*"
"JN.1.1*"	0.05764169	0.01387	0.10142	17	"Nova Scotia"	0	"HV.1"
"JN.1.19"	0.05756032	0.03754	0.07758	32	"Ontario"	0	"HV.1*"
"JN*"	0.05682958	0.04793	0.06573	2492	"Alberta"	0	"HV.1"
