"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"	"Highlight"	"lineType"	"reference"
"MC.10*"	0.0223641	0	0.0455	16	"Newfoundland and Labrador"	0	"dashed"	"XEC*"
"XEC.4.1"	0.02222466	0.01294	0.03151	50	"Canada"	0	"dashed"	"XEC"
"MC.10.1*"	0.02220572	0	0.04577	15	"Newfoundland and Labrador"	0	"dashed"	"XEC*"
"NY*"	0.02218138	0.00866	0.0357	35	"Quebec"	0	"dashed"	"XEC*"
"PC*"	0.02179088	0.00953	0.03405	28	"Canada"	0	"dashed"	"XEC*"
"MC.9"	0.02178309	0.00626	0.03731	23	"Ontario"	0	"dashed"	"XEC"
"MC.9*"	0.02178309	0.00626	0.03731	23	"Ontario"	0	"dashed"	"XEC*"
"LP.8.1.1"	0.02176519	0.00799	0.03554	33	"Quebec"	0	"dashed"	"XEC"
"XEC.25*"	0.02152194	0.00588	0.03717	17	"Canada"	0	"dashed"	"XEC*"
"XEC.2.1"	0.02148939	0.00301	0.03997	16	"Ontario"	0	"dashed"	"XEC"
"XEK.1"	0.02135912	0.00723	0.03548	21	"Canada"	0	"dashed"	"XEC"
"MC.1.7"	0.02134832	0.00839	0.03431	25	"Canada"	0	"dashed"	"XEC"
"LF.7.1*"	0.02008924	0.00369	0.03649	11	"Alberta"	0	"dashed"	"XEC*"
"XEC.2.2"	0.0199304	0.00258	0.03728	17	"British Columbia"	0	"dashed"	"XEC"
"NY*"	0.01990793	0.01204	0.02778	110	"British Columbia"	0	"dashed"	"XEC*"
"MC.21*"	0.01970237	0.01142	0.02798	63	"Canada"	0	"dashed"	"XEC*"
"XEC.4.1"	0.01963128	0.00762	0.03164	39	"Ontario"	0	"dashed"	"XEC"
"XEK*"	0.01910419	0	0.04	12	"Quebec"	0	"dashed"	"XEC*"
"MC.10.1.7"	0.01898434	0.01454	0.02343	243	"Canada"	0	"dashed"	"XEC"
"XEC.8"	0.01887597	0.01257	0.02518	147	"Ontario"	0	"dashed"	"XEC"
"NT*"	0.01878944	0.00203	0.03555	15	"Canada"	0	"dashed"	"XEC*"
"NF.1*"	0.0187384	0	0.04157	11	"Ontario"	0	"dashed"	"XEC*"
"MC.40.1"	0.01859862	0.00564	0.03156	33	"Ontario"	0	"dashed"	"XEC"
"LF.7.2*"	0.01821767	0.00051	0.03592	17	"Ontario"	0	"dashed"	"XEC*"
"LP.8.1*"	0.01805833	0.0136	0.02251	252	"Alberta"	0	"dashed"	"XEC*"
"KP.1.1*"	0.01797984	0.01353	0.02243	253	"Alberta"	0	"dashed"	"XEC*"
"LP*"	0.01797984	0.01353	0.02243	253	"Alberta"	0	"dashed"	"XEC*"
"KP.3.3*"	0.01772525	0	0.03805	12	"Quebec"	0	"dashed"	"XEC*"
"MC.10.1.7"	0.01763881	0.01181	0.02347	182	"Ontario"	0	"dashed"	"XEC"
"XEC.25"	0.01746053	0.00118	0.03374	16	"Canada"	0	"dashed"	"XEC"
"LF.7.1.2"	0.01740341	0	0.03703	11	"Canada"	0	"dashed"	"XEC"
"KP.3.3.2"	0.01707258	0.01108	0.02306	126	"Canada"	0	"dashed"	"XEC"
"MC.40.1"	0.01678956	0.00564	0.02794	35	"Canada"	0	"dashed"	"XEC"
"MC.26"	0.01664659	0.00161	0.03168	24	"Ontario"	0	"dashed"	"XEC"
"XEC.2*"	0.01651392	0.00916	0.02387	71	"Alberta"	0	"dashed"	"XEC*"
"MC.1.5"	0.01651302	0.00866	0.02437	97	"Ontario"	0	"dashed"	"XEC"
"MC.10.1.1"	0.01633047	0	0.03437	17	"Ontario"	0	"dashed"	"XEC"
"MC.1.5"	0.01619882	0.00939	0.02301	99	"Canada"	0	"dashed"	"XEC"
"XEC.2.1"	0.01613596	0.00127	0.031	15	"Alberta"	0	"dashed"	"XEC"
"XEK"	0.01605238	0.0053	0.02681	48	"Ontario"	0	"dashed"	"XEC"
"MC.26*"	0.0159784	0.00124	0.03071	25	"Ontario"	0	"dashed"	"XEC*"
"XEC.18"	0.01572359	0	0.03291	18	"Ontario"	0	"dashed"	"XEC"
"NB.1"	0.01544575	0	0.03131	17	"Canada"	0	"dashed"	"XEC"
"XEN"	0.01513535	0	0.03492	11	"Canada"	0	"dashed"	"XEC"
"NB.1"	0.01509846	0	0.03406	15	"British Columbia"	0	"dashed"	"XEC"
"NB.1*"	0.01509846	0	0.03406	15	"British Columbia"	0	"dashed"	"XEC*"
"LF.7.2*"	0.01509529	0.00377	0.02642	34	"Canada"	0	"dashed"	"XEC*"
"LP.8.1*"	0.01506415	0.0081	0.02203	162	"British Columbia"	0	"dashed"	"XEC*"
"LP*"	0.01506415	0.0081	0.02203	162	"British Columbia"	0	"dashed"	"XEC*"
"KP.1.1*"	0.0150405	0.00809	0.022	164	"British Columbia"	0	"dashed"	"XEC*"
"NL*"	0.01495521	0.00218	0.02773	21	"Alberta"	0	"dashed"	"XEC*"
"NC.1.2.2"	0.01490069	0.00353	0.02627	34	"Canada"	0	"dashed"	"XEC"
"XEC.2*"	0.01488368	0.01007	0.01969	295	"Ontario"	0	"dashed"	"XEC*"
"MC.10.1*"	0.01470647	0.01172	0.01769	622	"Canada"	0	"dashed"	"XEC*"
"LP.8.1"	0.01470269	0.01078	0.01863	314	"Canada"	0	"dashed"	"XEC"
"LB.1.3*"	0.01454815	0.00197	0.02713	22	"Alberta"	0	"dashed"	"XEC*"
"XEC.8"	0.01452756	0.00941	0.01965	179	"Canada"	0	"dashed"	"XEC"
"NC.1.2.2"	0.01438033	0.00145	0.02731	33	"Ontario"	0	"dashed"	"XEC"
"MC.10.1"	0.01427632	0	0.03467	12	"British Columbia"	0	"dashed"	"XEC"
"MC.10.1*"	0.01424288	0.01011	0.01838	410	"Ontario"	0	"dashed"	"XEC*"
"XEC.9"	0.01411974	0	0.03315	14	"Quebec"	0	"dashed"	"XEC"
"XEK.1*"	0.01374778	0.00812	0.01938	149	"Canada"	0	"dashed"	"XEC*"
"MC.1.2"	0.0137058	0.00977	0.01764	331	"Canada"	0	"dashed"	"XEC"
"XEC.2"	0.01359642	0.00496	0.02223	52	"Alberta"	0	"dashed"	"XEC"
"XEC.2*"	0.01349781	0.01009	0.01691	469	"Canada"	0	"dashed"	"XEC*"
