"Date"	"Lineage"	"Frequency"	"% Frequency"
2022-11-28	"CM.8.1"	2	"3%"
2022-11-28	"other lineages"	28	"35%"
2022-11-28	"XBB.1"	11	"14%"
2022-11-28	"XBB.1.5"	3	"4%"
2022-11-28	"XBB.2"	6	"8%"
2022-12-05	"BA.2"	0	"0%"
2022-12-05	"BA.2.12.1"	0	"0%"
2022-12-05	"BA.2.3.20"	6	"5%"
2022-12-05	"BA.2.75"	0	"0%"
2022-12-05	"BA.2.75.2"	0	"0%"
2022-12-05	"BN.1"	16	"12%"
2022-12-05	"BN.1.3"	9	"7%"
2022-12-05	"BN.1.3.1"	8	"6%"
2022-12-05	"CH.1.1"	2	"2%"
2022-12-05	"CM.2"	11	"9%"
2022-12-05	"CM.8.1"	3	"2%"
2022-12-05	"other lineages"	49	"38%"
2022-12-05	"XBB.1"	16	"12%"
2022-12-05	"XBB.1.5"	2	"2%"
2022-12-05	"XBB.2"	7	"5%"
2022-12-12	"BA.2"	0	"0%"
2022-12-12	"BA.2.12.1"	0	"0%"
2022-12-12	"BA.2.3.20"	10	"5%"
2022-12-12	"BA.2.75"	0	"0%"
2022-12-12	"BA.2.75.2"	0	"0%"
2022-12-12	"BN.1"	19	"10%"
2022-12-12	"BN.1.3"	23	"13%"
2022-12-12	"BN.1.3.1"	9	"5%"
2022-12-12	"CH.1.1"	8	"4%"
2022-12-12	"CM.2"	10	"5%"
2022-12-12	"CM.8.1"	3	"2%"
2022-12-12	"other lineages"	49	"27%"
2022-12-12	"XBB.1"	29	"16%"
2022-12-12	"XBB.1.5"	21	"12%"
2022-12-12	"XBB.2"	1	"1%"
2022-12-19	"BA.2"	0	"0%"
2022-12-19	"BA.2.12.1"	1	"1%"
2022-12-19	"BA.2.3.20"	11	"6%"
2022-12-19	"BA.2.75"	0	"0%"
2022-12-19	"BA.2.75.2"	0	"0%"
2022-12-19	"BN.1"	22	"12%"
2022-12-19	"BN.1.3"	17	"9%"
2022-12-19	"BN.1.3.1"	10	"6%"
2022-12-19	"CH.1.1"	16	"9%"
2022-12-19	"CM.2"	2	"1%"
2022-12-19	"CM.8.1"	4	"2%"
2022-12-19	"other lineages"	47	"26%"
2022-12-19	"XBB.1"	15	"8%"
2022-12-19	"XBB.1.5"	28	"16%"
