"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"	"reference"
"JG.3"	0.05130756	0.03117	0.07144	30	"British Columbia"	"EG.5*"
"HK.3*"	0.05120107	0.04334	0.05907	240	"British Columbia"	"EG.5.1.1"
"HK.3*"	0.05086584	0.03591	0.06583	65	"Quebec"	"EG.5.1.1"
"DV.7.1.1"	0.04976932	0.03506	0.06448	40	"Ontario"	"EG.5*"
"BA.2.86.1"	0.04968148	0.03648	0.06288	49	"Ontario"	"EG.5*"
"HK.3"	0.04967405	0.04152	0.05782	206	"British Columbia"	"EG.5*"
"DV.7.1.1"	0.04952513	0.03644	0.06261	46	"Canada"	"EG.5*"
"JN.3"	0.04923792	0.02986	0.06862	22	"Ontario"	"EG.5*"
"HK.3*"	0.04887312	0.02054	0.07721	12	"Manitoba"	"EG.5.1.1"
"HV*"	0.04858559	0.04561	0.05156	3721	"Ontario"	"EG.5.1.1"
"BA.2.86.1"	0.04841863	0.04087	0.05596	143	"Canada"	"EG.5*"
"JN*"	0.04789052	0.04179	0.05399	416	"Alberta"	"EG.5.1.1"
"BA.2.86*"	0.04770376	0.04163	0.05378	417	"Alberta"	"EG.5.1.1"
"JN.3"	0.0469759	0.03109	0.06286	29	"Canada"	"EG.5*"
"JD.1.1"	0.04690131	0.02648	0.06732	30	"Nova Scotia"	"EG.5*"
"HV.1"	0.04640428	0.04133	0.05148	1493	"British Columbia"	"EG.5*"
"HK.3"	0.04624617	0.03079	0.0617	50	"Quebec"	"EG.5*"
"JG.3"	0.04609092	0.0241	0.06808	33	"New Brunswick"	"EG.5*"
"JG.3"	0.04605688	0.029	0.06311	33	"Quebec"	"EG.5*"
"HK.3.2"	0.04558343	0.03217	0.059	51	"Alberta"	"EG.5*"
"JF.1"	0.04553673	0.01565	0.07543	11	"Nova Scotia"	"EG.5*"
"JG.2"	0.04549135	0.01976	0.07122	11	"Ontario"	"EG.5*"
"JD.1.1.1"	0.04471279	0.02843	0.06099	33	"Alberta"	"EG.5*"
"JD.1.1*"	0.04440931	0.04104	0.04777	925	"Canada"	"EG.5.1.1"
"HV.1"	0.04394551	0.04199	0.0459	7947	"Canada"	"EG.5*"
"JN.2"	0.0438976	0.03858	0.04921	273	"Canada"	"EG.5*"
"HV.1"	0.04348492	0.03344	0.05353	187	"Quebec"	"EG.5*"
"GA.4.1"	0.04333836	0.03052	0.05616	44	"Ontario"	"EG.5*"
"EG.5.1"	0.04325054	0.01676	0.06974	23	"Newfoundland and Labrador"	"EG.5*"
"FL.15*"	0.04282137	0.0204	0.06525	14	"British Columbia"	"EG.5.1.1"
"JD.1*"	0.04256366	0.03932	0.04581	969	"Canada"	"EG.5.1.1"
"JD.1.1"	0.04250441	0.0072	0.07781	11	"New Brunswick"	"EG.5*"
"HK.3.1"	0.041476	0.02182	0.06113	22	"British Columbia"	"EG.5*"
"HC.2"	0.04103846	0.02489	0.05718	25	"Ontario"	"EG.5*"
"HV.1"	0.04100636	0.02968	0.05233	201	"Nova Scotia"	"EG.5*"
"HV.1"	0.04096985	0.01895	0.06299	38	"Newfoundland and Labrador"	"EG.5*"
"EG.5.1.8"	0.04049741	0.02748	0.05351	47	"Alberta"	"EG.5*"
"JD.1.1*"	0.04047744	0.02216	0.05879	33	"Nova Scotia"	"EG.5.1.1"
"JD.1*"	0.04047744	0.02216	0.05879	33	"Nova Scotia"	"EG.5.1.1"
"GA.4.1"	0.04047277	0.01621	0.06473	12	"British Columbia"	"EG.5*"
"GA*"	0.04047277	0.01621	0.06473	12	"British Columbia"	"EG.5.1.1"
"EG.5.1.8"	0.04025135	0.0198	0.0607	17	"British Columbia"	"EG.5*"
"HV*"	0.0400989	0.01824	0.06196	39	"Newfoundland and Labrador"	"EG.5.1.1"
"HV*"	0.03990305	0.03045	0.04936	210	"Quebec"	"EG.5.1.1"
"HV*"	0.03966201	0.03501	0.04432	1787	"British Columbia"	"EG.5.1.1"
"HV*"	0.03912239	0.0373	0.04095	8796	"Canada"	"EG.5.1.1"
"JD.1.1"	0.03907771	0.03545	0.04271	638	"Canada"	"EG.5*"
"FL.1.5.1"	0.03822631	0.01705	0.0594	18	"Manitoba"	"EG.5*"
"FL.1.5*"	0.03822631	0.01705	0.0594	18	"Manitoba"	"EG.5.1.1"
"HN*"	0.03822631	0.01705	0.0594	18	"Manitoba"	"EG.5.1.1"
"FL.1*"	0.03822631	0.01705	0.0594	18	"Manitoba"	"EG.5.1.1"
"JG*"	0.03817867	0.01713	0.05923	19	"Manitoba"	"EG.5.1.1"
"JG*"	0.03817143	0.02543	0.05091	79	"Nova Scotia"	"EG.5.1.1"
"HK.3*"	0.03727965	0.0339	0.04066	1309	"Ontario"	"EG.5.1.1"
"HC*"	0.03722112	0.02207	0.05237	26	"Ontario"	"EG.5.1.1"
"FL*"	0.03718581	0.01428	0.06009	40	"Newfoundland and Labrador"	"EG.5.1.1"
"HK.3*"	0.03714319	0.03468	0.0396	2151	"Canada"	"EG.5.1.1"
"FL.15"	0.03686953	0.01334	0.0604	12	"British Columbia"	"EG.5*"
"JD.1*"	0.03660052	0.02878	0.04442	144	"British Columbia"	"EG.5.1.1"
"GS.3"	0.03654361	0.01927	0.05382	20	"Ontario"	"EG.5*"
"HK.6"	0.03650443	0.02697	0.04604	70	"Ontario"	"EG.5*"
"GK.3.1"	0.03647747	0.0173	0.05566	19	"British Columbia"	"EG.5*"
"GK.3*"	0.03647747	0.0173	0.05566	19	"British Columbia"	"EG.5.1.1"
"JD.1.1*"	0.03632845	0.0285	0.04416	143	"British Columbia"	"EG.5.1.1"
"XCH.1"	0.03619078	0.01436	0.05802	16	"Alberta"	"EG.5*"
"FL.1.5.2"	0.0361819	0.03084	0.04152	239	"Canada"	"EG.5*"
"JF.1"	0.03568069	0.02112	0.05025	48	"Quebec"	"EG.5*"
"HF.1.1"	0.03552845	0.02016	0.0509	25	"Ontario"	"EG.5*"
"HV.1"	0.0352519	0.03131	0.03919	1795	"Alberta"	"EG.5*"
"GS.4.1"	0.03509399	0.02216	0.04803	35	"Ontario"	"EG.5*"
"FL.1.5.2"	0.0349062	0.02411	0.0457	68	"Alberta"	"EG.5*"
"EG.5.1.8"	0.0343744	0.02844	0.04031	177	"Canada"	"EG.5*"
"HK.8"	0.03430211	0.01651	0.0521	18	"Ontario"	"EG.5*"
"GS.4*"	0.03422281	0.01852	0.04993	29	"British Columbia"	"EG.5.1.1"
"HK.3"	0.033917	0.03138	0.03645	1748	"Canada"	"EG.5*"
"HC.2"	0.0336524	0.01956	0.04774	28	"Canada"	"EG.5*"
"HK.3"	0.03314889	0.02968	0.03662	1057	"Ontario"	"EG.5*"
"GA.4.1"	0.03279318	0.02511	0.04048	99	"Canada"	"EG.5*"
"HK.3*"	0.03252578	0.02626	0.03879	246	"Alberta"	"EG.5.1.1"
"XCH"	0.03244312	0.01979	0.0451	35	"Ontario"	"EG.5*"
"GS.4.1"	0.032142	0.01624	0.04805	28	"British Columbia"	"EG.5*"
"HV*"	0.03209757	0.02834	0.03585	1981	"Alberta"	"EG.5.1.1"
"JD.1.1*"	0.03135681	0.02469	0.03802	205	"Alberta"	"EG.5.1.1"
"JD.1.1"	0.03095974	0.02355	0.03837	150	"Alberta"	"EG.5*"
"XCH*"	0.0309559	0.01394	0.04797	21	"Alberta"	"EG.5.1.1"
"HR.1"	0.0308626	0.01292	0.04881	19	"Alberta"	"EG.5*"
"GA*"	0.03074879	0.0204	0.0411	52	"Ontario"	"EG.5.1.1"
"GK.1"	0.03053496	0.02305	0.03802	109	"Ontario"	"EG.5*"
"GS.3"	0.03050241	0.01525	0.04576	23	"Canada"	"EG.5*"
"EG.6.1.1"	0.03033228	0.01353	0.04713	22	"Alberta"	"EG.5*"
"JD.1*"	0.03000522	0.02347	0.03654	207	"Alberta"	"EG.5.1.1"
"XBB.1.5*"	0.0299983	0.00455	0.05545	23	"Newfoundland and Labrador"	"EG.5.1.1"
"FL.15.1.1"	0.02997094	0.02054	0.0394	61	"Canada"	"EG.5*"
"GK.1"	0.02996233	0.02355	0.03637	139	"Canada"	"EG.5*"
"XCH*"	0.02954175	0.02186	0.03722	100	"Ontario"	"EG.5.1.1"
"HK.3"	0.02944867	0.02275	0.03614	185	"Alberta"	"EG.5*"
"BA.2.86.1"	0.02941182	0.01619	0.04264	36	"Alberta"	"EG.5*"
"GK.3.1"	0.0292947	0.00727	0.05132	13	"Alberta"	"EG.5*"
"FL.1.5.2"	0.02924536	0.02285	0.03565	154	"Ontario"	"EG.5*"
"GK.1.3"	0.02892273	0.00543	0.05241	12	"British Columbia"	"EG.5*"
"JN.2"	0.0288948	0.02217	0.03562	164	"Alberta"	"EG.5*"
"JJ.1"	0.02879536	0.01456	0.04303	26	"Canada"	"EG.5*"
"JN*"	0.0286856	0.00772	0.04965	24	"New Brunswick"	"EG.5.1.1"
"BA.2.86*"	0.0286856	0.00772	0.04965	24	"New Brunswick"	"EG.5.1.1"
"EG.5.1.8"	0.0285718	0.01971	0.03743	71	"Ontario"	"EG.5*"
"XBB.2.3*"	0.02849272	0	0.05743	22	"Newfoundland and Labrador"	"EG.5.1.1"
"JD.1.1"	0.02843808	0.02015	0.03672	120	"British Columbia"	"EG.5*"
"HC*"	0.02841618	0.01569	0.04114	32	"Canada"	"EG.5.1.1"
"GK.1.1"	0.02820289	0.01287	0.04354	29	"Quebec"	"EG.5*"
"DV.7.1"	0.02793778	0.00748	0.04839	15	"Quebec"	"EG.5*"
"HK.3.1"	0.02768108	0.01676	0.0386	44	"Canada"	"EG.5*"
"XCH.1"	0.02763697	0.0204	0.03488	104	"Canada"	"EG.5*"
"EG.5.2.1"	0.02751715	0.00744	0.0476	43	"New Brunswick"	"EG.5*"
"EG.5.2*"	0.02751715	0.00744	0.0476	43	"New Brunswick"	"EG.5.1.1"
"GK.1*"	0.02729212	0.01314	0.04144	34	"Quebec"	"EG.5.1.1"
"XCH.1"	0.02728071	0.0181	0.03646	65	"Ontario"	"EG.5*"
"JJ.1"	0.02684916	0.01126	0.04243	21	"Ontario"	"EG.5*"
"HV*"	0.02683692	0.01745	0.03622	275	"Nova Scotia"	"EG.5.1.1"
"JG.2"	0.02671495	0.00829	0.04514	15	"Canada"	"EG.5*"
"HF.1.1"	0.02651783	0.01454	0.0385	36	"Canada"	"EG.5*"
"JE.1"	0.02619605	0.01501	0.03739	41	"Canada"	"EG.5*"
"FL.20.2"	0.02605695	0.01389	0.03823	35	"Ontario"	"EG.5*"
"HV.1"	0.02596075	0.01544	0.03648	195	"New Brunswick"	"EG.5*"
"JF*"	0.02587566	0.01431	0.03744	81	"Quebec"	"EG.5.1.1"
"GA*"	0.02575826	0.01893	0.03259	115	"Canada"	"EG.5.1.1"
"JG*"	0.02569643	0.02259	0.0288	1097	"Ontario"	"EG.5.1.1"
"XCH*"	0.02528302	0.01948	0.03108	163	"Canada"	"EG.5.1.1"
"EG.5.1.3"	0.02524687	0.00223	0.04826	14	"Manitoba"	"EG.5*"
"EG.5.1.9"	0.0252281	0.01396	0.0365	41	"Ontario"	"EG.5*"
"FL.15.1*"	0.02482511	0.01474	0.03491	50	"Ontario"	"EG.5.1.1"
"XBB.1.16.17"	0.02482014	0.00259	0.04705	13	"British Columbia"	"EG.5*"
"GK*"	0.02466872	0.01283	0.03651	65	"Quebec"	"EG.5.1.1"
"XBB.1"	0.02459724	0.00795	0.04124	18	"Canada"	"EG.5*"
"GK.1"	0.02436835	0.00335	0.04538	12	"Alberta"	"EG.5*"
"HK.8"	0.02388571	0.00974	0.03803	25	"Canada"	"EG.5*"
"FY.3.1"	0.02376605	0.00724	0.0403	18	"Ontario"	"EG.5*"
"FL.4.9"	0.02368572	0.00865	0.03872	22	"Canada"	"EG.5*"
"GK*"	0.0235721	0.01113	0.03601	58	"Nova Scotia"	"EG.5.1.1"
"GK.1*"	0.0234519	0.00424	0.04266	28	"New Brunswick"	"EG.5.1.1"
"HK.2"	0.0231513	0.01085	0.03545	33	"Canada"	"EG.5*"
"FL.20.2"	0.02311808	0.01304	0.0332	50	"Canada"	"EG.5*"
"XBB.1.16.17"	0.02301427	0.00691	0.03912	21	"Alberta"	"EG.5*"
"JG*"	0.02297487	0.01157	0.03438	59	"Quebec"	"EG.5.1.1"
"JF.1"	0.02286359	0.0053	0.04042	36	"New Brunswick"	"EG.5*"
"JD.1.1*"	0.02265616	0	0.04548	18	"New Brunswick"	"EG.5.1.1"
"JD.1*"	0.02265616	0	0.04548	18	"New Brunswick"	"EG.5.1.1"
"DV.7.1*"	0.02243495	0.01864	0.02623	533	"Ontario"	"EG.5.1.1"
"DV*"	0.02243495	0.01864	0.02623	533	"Ontario"	"EG.5.1.1"
"HK.6"	0.02241559	0.01592	0.02891	124	"Canada"	"EG.5*"
"HK.2"	0.02240373	0.00239	0.04242	14	"Alberta"	"EG.5*"
"XBB.1.16.11"	0.02208357	0.00409	0.04008	18	"Quebec"	"EG.5*"
"HF.1*"	0.02205266	0.01224	0.03186	52	"Ontario"	"EG.5.1.1"
"GW.5.1.1"	0.02193185	0.0026	0.04127	13	"Canada"	"EG.5*"
"JG.1"	0.02159397	0.00222	0.04097	13	"Canada"	"EG.5*"
"XCH"	0.02084455	0.01167	0.03002	59	"Canada"	"EG.5*"
"DV.7.1"	0.0206958	0.01675	0.02465	449	"Ontario"	"EG.5*"
"FL*"	0.02067613	0.00556	0.03579	35	"Manitoba"	"EG.5.1.1"
"JF.1"	0.0205912	0.01395	0.02723	247	"British Columbia"	"EG.5*"
"JG*"	0.02053524	0.01846	0.02261	2139	"Canada"	"EG.5.1.1"
"GS.4.1"	0.02027251	0.01303	0.02751	97	"Canada"	"EG.5*"
"JJ*"	0.02003828	0.01375	0.02633	168	"Alberta"	"EG.5.1.1"
"EG.5.1.4"	0.0195704	0.01325	0.02589	164	"Alberta"	"EG.5*"
"XBB.1.41.1"	0.01942936	0.00321	0.03565	18	"Ontario"	"EG.5*"
"DV.7.1*"	0.01941164	0.00401	0.03482	30	"Quebec"	"EG.5.1.1"
"DV.7.1*"	0.0193938	0.01636	0.02243	710	"Canada"	"EG.5.1.1"
"FL.15.1*"	0.01932667	0.01135	0.0273	78	"Canada"	"EG.5.1.1"
"DV*"	0.01930631	0.01627	0.02234	711	"Canada"	"EG.5.1.1"
"EG.5.1"	0.01928077	0.00179	0.03677	23	"Manitoba"	"EG.5*"
"CH.1.1*"	0.01874338	0.01514	0.02235	570	"Ontario"	"EG.5.1.1"
"DV.7.1"	0.01788022	0.01463	0.02113	581	"Canada"	"EG.5*"
"DV*"	0.01785727	0.00271	0.033	31	"Quebec"	"EG.5.1.1"
"CH.1.1*"	0.01785727	0.00271	0.033	31	"Quebec"	"EG.5.1.1"
"FL.15*"	0.01784844	0.01141	0.02428	125	"Ontario"	"EG.5.1.1"
"FY.3*"	0.01782868	0.0028	0.03286	21	"Ontario"	"EG.5.1.1"
"JD.1"	0.01771365	0	0.03847	11	"Canada"	"EG.5*"
"GK.1.1"	0.01757984	0.00856	0.0266	102	"British Columbia"	"EG.5*"
"JE.1*"	0.01756232	0.00909	0.02603	68	"Canada"	"EG.5.1.1"
"DV.7.1*"	0.01755346	0	0.04183	11	"Nova Scotia"	"EG.5.1.1"
"DV*"	0.01755346	0	0.04183	11	"Nova Scotia"	"EG.5.1.1"
"XBB.1.5*"	0.01731874	0.00854	0.02609	136	"Quebec"	"EG.5.1.1"
"HF.1"	0.01729388	0	0.03757	13	"Quebec"	"EG.5*"
"HF.1*"	0.01729388	0	0.03757	13	"Quebec"	"EG.5.1.1"
"GK.1*"	0.01724386	0.0087	0.02579	118	"British Columbia"	"EG.5.1.1"
"XBB.1.5.70"	0.01719673	0	0.03739	14	"Quebec"	"EG.5*"
"EG.5.2.1"	0.01714416	0.00867	0.02562	69	"Canada"	"EG.5*"
"FL.15"	0.01709668	0.00832	0.02587	63	"Ontario"	"EG.5*"
"EG.5.1.6"	0.01687234	0.00072	0.03302	23	"Quebec"	"EG.5*"
"GK.1*"	0.01674836	0.01213	0.02137	293	"Ontario"	"EG.5.1.1"
"EG.5.1.6"	0.01662622	0.01119	0.02206	183	"Ontario"	"EG.5*"
"GK.2*"	0.01660115	0	0.03603	16	"Quebec"	"EG.5.1.1"
"GK*"	0.01658662	0.00089	0.03228	39	"New Brunswick"	"EG.5.1.1"
"CH.1.1*"	0.01652856	0	0.03836	14	"Nova Scotia"	"EG.5.1.1"
"HK.3.3"	0.01652245	0.00506	0.02798	37	"Canada"	"EG.5*"
"XBB.1.42.1"	0.01640143	0.00419	0.02862	32	"Ontario"	"EG.5*"
"XBB.1.16*"	0.01632171	0.00694	0.0257	147	"Quebec"	"EG.5.1.1"
"JF.1"	0.01594506	0.01289	0.019	701	"Canada"	"EG.5*"
"JF.1"	0.01593614	0.00767	0.0242	83	"Alberta"	"EG.5*"
"HK.2"	0.01590928	0	0.03973	12	"British Columbia"	"EG.5*"
"FY.1*"	0.01572654	0	0.03272	17	"Alberta"	"EG.5.1.1"
"JG*"	0.01572467	0.01112	0.02033	344	"Alberta"	"EG.5.1.1"
"JF*"	0.01570809	0.01058	0.02083	532	"British Columbia"	"EG.5.1.1"
"GK.3*"	0.01552677	0.00079	0.03026	23	"Alberta"	"EG.5.1.1"
"XBB.1.5*"	0.01537702	0.01276	0.018	1487	"Ontario"	"EG.5.1.1"
"GK*"	0.0153721	0.00813	0.02261	175	"British Columbia"	"EG.5.1.1"
"GS*"	0.01518147	0.00274	0.02763	46	"British Columbia"	"EG.5.1.1"
"EG.7"	0.01514394	0.00381	0.02648	60	"British Columbia"	"EG.5*"
"XBB.1.5*"	0.0149783	0.00491	0.02505	134	"Nova Scotia"	"EG.5.1.1"
"EG.5.1.9"	0.01497486	0.0063	0.02365	66	"Canada"	"EG.5*"
"GZ.1"	0.01497381	0.00034	0.02961	22	"Ontario"	"EG.5*"
"GK.1*"	0.01496205	0.01186	0.01806	650	"Canada"	"EG.5.1.1"
"CH.1.1*"	0.01486817	0.01202	0.01771	804	"Canada"	"EG.5.1.1"
"GK.2.1"	0.01475213	0.00446	0.02504	46	"Canada"	"EG.5*"
"XBB.1.41*"	0.01469666	0	0.03	20	"Ontario"	"EG.5.1.1"
"DV.7.1.2"	0.01465082	0.00416	0.02514	44	"Ontario"	"EG.5*"
"EG.5.1.3"	0.01462151	0	0.02992	37	"Nova Scotia"	"EG.5*"
"JF.1"	0.01453475	0.00954	0.01953	235	"Ontario"	"EG.5*"
"FY.5"	0.0144523	0.00669	0.02221	82	"Canada"	"EG.5*"
"HV*"	0.01433252	0.00499	0.02367	251	"New Brunswick"	"EG.5.1.1"
"GK.1*"	0.01420551	0.00042	0.02799	37	"Nova Scotia"	"EG.5.1.1"
"XBB.1.41*"	0.01419884	0	0.03697	13	"British Columbia"	"EG.5.1.1"
"GK.1.1"	0.01416088	0	0.03416	23	"New Brunswick"	"EG.5*"
"GZ.1"	0.01407682	0	0.02855	23	"Canada"	"EG.5*"
"EG.6.1.1"	0.0140655	0.00574	0.02239	71	"Canada"	"EG.5*"
"DV.7.1*"	0.01366438	0	0.03033	25	"British Columbia"	"EG.5.1.1"
"DV*"	0.01366438	0	0.03033	25	"British Columbia"	"EG.5.1.1"
"GS*"	0.01363355	0.00627	0.02099	91	"Ontario"	"EG.5.1.1"
"GK.1.1"	0.01351142	0	0.02828	32	"Nova Scotia"	"EG.5*"
"GN.1*"	0.01349758	0	0.03123	15	"Alberta"	"EG.5.1.1"
"GA.4.1"	0.01322833	0.00217	0.02428	42	"Alberta"	"EG.5*"
"FY.5"	0.0130941	0	0.0271	25	"Alberta"	"EG.5*"
"FL.15*"	0.01304442	0.00786	0.01822	191	"Canada"	"EG.5.1.1"
"DV.7.1.2"	0.01286982	0.00493	0.02081	79	"Canada"	"EG.5*"
"JD.1.1.2"	0.0128629	0.00141	0.02432	37	"Canada"	"EG.5*"
"EG.5.1.6"	0.01253191	0.00638	0.01869	294	"British Columbia"	"EG.5*"
"HK.3"	0.0124711	0.00093	0.02401	132	"New Brunswick"	"EG.5*"
"EG.5.1"	0.01241188	0.00925	0.01557	815	"Ontario"	"EG.5*"
"GA*"	0.0123874	0.00149	0.02329	43	"Alberta"	"EG.5.1.1"
"HF.1"	0.01223865	0	0.02589	25	"Ontario"	"EG.5*"
"GS.4*"	0.01201598	0.00601	0.01803	141	"Canada"	"EG.5.1.1"
"EG.5.1.4"	0.01175143	0	0.02807	24	"Nova Scotia"	"EG.5*"
"JJ*"	0.01175143	0	0.02807	24	"Nova Scotia"	"EG.5.1.1"
"XBB.1.16.6"	0.01165499	0	0.02589	33	"Quebec"	"EG.5*"
"XBB.1.5*"	0.0115629	0.00665	0.01647	507	"British Columbia"	"EG.5.1.1"
"GK*"	0.01151187	0.00899	0.01403	1130	"Canada"	"EG.5.1.1"
"XBB.2.3*"	0.01141701	0	0.02634	37	"Nova Scotia"	"EG.5.1.1"
"GS.4*"	0.0113615	0.0026	0.02012	63	"Ontario"	"EG.5.1.1"
"XBB.1.16.6"	0.01136036	0.00542	0.0173	285	"British Columbia"	"EG.5*"
"GK*"	0.01131438	0.00768	0.01495	574	"Ontario"	"EG.5.1.1"
"XBB.1.5*"	0.01127006	0.00949	0.01305	3108	"Canada"	"EG.5.1.1"
"JF.1"	0.01124118	0	0.03525	12	"Manitoba"	"EG.5*"
"BA.2.86.1"	0.0111814	0	0.0349	14	"New Brunswick"	"EG.5*"
"XBB.1.42.1"	0.01112144	0.00211	0.02013	61	"Canada"	"EG.5*"
"GK.3.1"	0.01104814	0.00568	0.01641	183	"Canada"	"EG.5*"
"GK*"	0.01096613	0	0.03404	13	"Manitoba"	"EG.5.1.1"
"HF.1*"	0.01086082	0.00505	0.01668	152	"Canada"	"EG.5.1.1"
"GK.3*"	0.010816	0.00557	0.01606	193	"Canada"	"EG.5.1.1"
"FL.4*"	0.01079215	0	0.02395	28	"Canada"	"EG.5.1.1"
"FL.15"	0.01072575	0.00371	0.01774	101	"Canada"	"EG.5*"
"GK.1.1"	0.01071773	0.00724	0.0142	482	"Canada"	"EG.5*"
"GK.1.3"	0.01062245	0	0.02356	29	"Canada"	"EG.5*"
"HR.1"	0.01057386	0.00386	0.01729	119	"Ontario"	"EG.5*"
"XBB.1.42*"	0.01041824	0	0.02167	38	"Ontario"	"EG.5.1.1"
"XBB.1.16.11"	0.01037758	0	0.02266	49	"British Columbia"	"EG.5*"
"GS*"	0.01024002	0.00511	0.01537	198	"Canada"	"EG.5.1.1"
"FY.1.2"	0.01019658	0	0.02796	15	"Alberta"	"EG.5*"
"GK.2"	0.01018018	0	0.03183	13	"Quebec"	"EG.5*"
"JJ*"	0.00996427	0.00734	0.01259	922	"Canada"	"EG.5.1.1"
"JJ*"	0.00993052	0.00623	0.01363	494	"Ontario"	"EG.5.1.1"
"GK.2.1"	0.00965571	0	0.03398	12	"British Columbia"	"EG.5*"
"XBB.1.16.17"	0.00962509	0.00238	0.01687	95	"Canada"	"EG.5*"
