"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"	"Highlight"	"lineType"	"reference"
"MC.23"	0.01562662	0.00501	0.02625	46	"Alberta"	0	"dashed"	"KP.3.1.1"
"KP.3.5"	0.01542812	0.00509	0.02576	31	"Ontario"	0	"dashed"	"KP.3.1.1"
"MC.8.1"	0.01533632	0.00972	0.02095	109	"Ontario"	0	"dashed"	"KP.3.1.1"
"MC.8*"	0.01533632	0.00972	0.02095	109	"Ontario"	0	"dashed"	"KP.3*"
"LB.1*"	0.01504404	0.01187	0.01821	365	"Canada"	0	"dashed"	"KP.3*"
"MC.8*"	0.01497352	0.01032	0.01962	165	"Canada"	0	"dashed"	"KP.3*"
"MU*"	0.01415633	0	0.03185	14	"British Columbia"	0	"dashed"	"KP.3*"
"LF*"	0.0139696	0.00884	0.0191	132	"Ontario"	0	"dashed"	"KP.3*"
"LB.1.3*"	0.01387662	0	0.02867	27	"Nova Scotia"	0	"dashed"	"KP.3*"
"NL*"	0.01387662	0	0.02867	27	"Nova Scotia"	0	"dashed"	"KP.3*"
"MV.1"	0.01363578	0.00308	0.02419	31	"Canada"	0	"dashed"	"KP.3.1.1"
"MC.10*"	0.01348387	0.0072	0.01977	157	"Alberta"	0	"dashed"	"KP.3*"
"MC.13"	0.01324885	0.00546	0.02103	83	"British Columbia"	0	"dashed"	"KP.3.1.1"
"MA.1"	0.01312372	0	0.02814	15	"Canada"	0	"dashed"	"KP.3.1.1"
"LB.1*"	0.01305801	0.00908	0.01703	225	"Ontario"	0	"dashed"	"KP.3*"
"XEC.3"	0.01300392	0.00386	0.02214	40	"Ontario"	0	"dashed"	"KP.3.1.1"
"MC.11"	0.01299098	0	0.03364	20	"Newfoundland and Labrador"	0	"dashed"	"KP.3.1.1"
"MC.13*"	0.01291701	0.00398	0.02185	55	"Quebec"	0	"dashed"	"KP.3*"
"XEC.8"	0.01287554	0.00953	0.01622	341	"Ontario"	0	"dashed"	"KP.3.1.1"
"XEC.2.2"	0.01270283	0.00633	0.01907	87	"Canada"	0	"dashed"	"KP.3.1.1"
"LB.1*"	0.01257702	0	0.027	28	"Nova Scotia"	0	"dashed"	"KP.3*"
"XEC.13"	0.01256132	0.0005	0.02463	24	"Canada"	0	"dashed"	"KP.3.1.1"
"KP.3.3*"	0.01235943	0	0.03372	12	"Newfoundland and Labrador"	0	"dashed"	"KP.3*"
"MC.10*"	0.01234228	0.002	0.02269	56	"New Brunswick"	0	"dashed"	"KP.3*"
"MC.2"	0.01194499	0.00658	0.01731	127	"Canada"	0	"dashed"	"KP.3.1.1"
"MC.28*"	0.01193478	0.00677	0.0171	138	"Canada"	0	"dashed"	"KP.3*"
"MV.1*"	0.01181015	0.00144	0.02218	33	"Canada"	0	"dashed"	"KP.3*"
"MC.20"	0.01166929	0	0.02463	21	"Canada"	0	"dashed"	"KP.3.1.1"
"MC.26*"	0.01130348	0.00618	0.01643	140	"Canada"	0	"dashed"	"KP.3*"
"XEC.1"	0.01114843	0.00392	0.01837	70	"Canada"	0	"dashed"	"KP.3.1.1"
"XEK.3"	0.01104197	0	0.02547	16	"Ontario"	0	"dashed"	"KP.3.1.1"
"XEC.14"	0.01103371	0	0.0329	11	"Alberta"	0	"dashed"	"KP.3.1.1"
