#node	date	numeric date
hCoV-19/Canada/QC-L00349123001A/2021_A.2.5_2021-04-14	2021-04-14	2021.283562
hCoV-19/Canada/QC-1nIUH-5524349603/2021_A.2.5_2021-03-25	2021-03-25	2021.228767
NODE_0000073	2020-12-25	2020.982286
NODE_0000074	2020-12-26	2020.985495
NODE_0000075	2021-01-24	2021.065127
hCoV-19/Canada/ON-PHL-21-19153/2021_A.2.5_2021-03-30	2021-03-30	2021.242466
hCoV-19/Canada/ON-PHL-21-15686/2021_A.2.5_2021-04-27	2021-04-27	2021.319178
NODE_0000076	2020-12-26	2020.985495
hCoV-19/Canada/ON-PHL-21-21210/2021_A.2.5_2021-05-18	2021-05-18	2021.376712
hCoV-19/Canada/NS-NML-16223/2021_A.2.5_2021-01-16	2021-01-16	2021.042466
NODE_0000077	2021-03-14	2021.198258
NODE_0000078	2021-04-10	2021.273352
hCoV-19/Canada/QC-L00373042001/2021_A.2.5_2021-08-06	2021-08-06	2021.595890
NODE_0000079	2021-05-14	2021.365753
hCoV-19/Canada/QC-1nSKP-636857890/2021_A.2.5_2021-05-14	2021-05-14	2021.365753
hCoV-19/Canada/QC-L00358422/2021_A.2.5_2021-05-29	2021-05-29	2021.406849
NODE_0000080	2021-03-15	2021.201467
NODE_0000081	2021-07-08	2021.516438
hCoV-19/Canada/ON-PHL-21-25379/2021_A.2.5_2021-07-08	2021-07-08	2021.516438
hCoV-19/Canada/ON-PHL-21-25641/2021_A.2.5_2021-07-12	2021-07-12	2021.527397
NODE_0000082	2021-03-16	2021.204676
hCoV-19/Canada/QC-L00352013/2021_A.2.5_2021-05-08	2021-05-08	2021.349315
NODE_0000083	2021-03-17	2021.207885
hCoV-19/Canada/QC-L00359298001/2021_A.2.5_2021-06-07	2021-06-07	2021.431507
hCoV-19/Canada/QC-L00357664/2021_A.2.5_2021-06-01	2021-06-01	2021.415068
NODE_0000084	2020-12-13	2020.948761
NODE_0000085	2020-12-14	2020.951970
hCoV-19/Canada/BC-BCCDC-128981/2021_A.2.5_2021-07-04	2021-07-04	2021.505479
NODE_0000086	2021-02-04	2021.095041
hCoV-19/Canada/BC-BCCDC-107151/2021_A.2.5.1_2021-06-09	2021-06-09	2021.436986
NODE_0000087	2021-02-22	2021.142911
NODE_0000088	2021-05-07	2021.346106
hCoV-19/Canada/QC-L00355318001A/2021_A.2.5.1_2021-05-21	2021-05-21	2021.384932
hCoV-19/Canada/QC-L00355204001A/2021_A.2.5.1_2021-05-08	2021-05-08	2021.349315
NODE_0000089	2021-02-22	2021.143836
hCoV-19/Canada/ON-PHL-21-12154/2021_A.2.5.1_2021-02-22	2021-02-22	2021.143836
NODE_0000090	2021-02-28	2021.158916
hCoV-19/Canada/QC-L00356585/2021_A.2.5.1_2021-05-28	2021-05-28	2021.404110
hCoV-19/Canada/QC-L00358245/2021_A.2.5.1_2021-06-03	2021-06-03	2021.420548
NODE_0000091	2021-01-03	2021.008083
NODE_0000092	2021-01-09	2021.024634
NODE_0000093	2021-01-25	2021.066199
hCoV-19/Canada/QC-1nIRE-U21114499Q/2021_A.2.5.2_2021-02-11	2021-02-11	2021.113699
NODE_0000094	2021-01-25	2021.067123
hCoV-19/Canada/QC-1nDJXQ-Q5253044C2/2021_A.2.5.2_2021-01-25	2021-01-25	2021.067123
hCoV-19/Canada/QC-1nIEOQ-u40547369v/2021_A.2.5.2_2021-04-05	2021-04-05	2021.258904
NODE_0000095	2021-01-11	2021.027843
NODE_0000096	2021-01-11	2021.028767
hCoV-19/Canada/QC-1nKGZ-R7190073/2021_A.2.5.2_2021-01-19	2021-01-19	2021.050685
hCoV-19/Canada/QC-1nIOU-A5112575/2021_A.2.5.2_2021-01-11	2021-01-11	2021.028767
NODE_0000097	2021-01-21	2021.057498
NODE_0000098	2021-01-29	2021.078431
hCoV-19/Canada/QC-1nIOU-A6035348/2021_A.2.5.2_2021-02-03	2021-02-03	2021.091781
hCoV-19/Canada/QC-1nIUH-5524325834/2021_A.2.5.2_2021-03-09	2021-03-09	2021.184932
NODE_0000099	2021-02-13	2021.117916
hCoV-19/Canada/QC-1nDWVQ-MX21111131/2021_A.2.5.2_2021-03-20	2021-03-20	2021.215068
NODE_0000100	2021-02-13	2021.117916
hCoV-19/Canada/Qc-L00325713001/2021_A.2.5.2_2021-02-18	2021-02-18	2021.132877
hCoV-19/Canada/QC-L00359254001/2021_A.2.5.2_2021-06-07	2021-06-07	2021.431507
NODE_0000101	2021-01-04	2021.008828
NODE_0000102	2021-01-04	2021.009589
hCoV-19/Canada/QC-1nIROK-S904338799/2021_A.2.5.2_2021-01-04	2021-01-04	2021.009589
NODE_0000103	2021-04-02	2021.251391
hCoV-19/Canada/QC-L00348118001A/2021_A.2.5.2_2021-04-19	2021-04-19	2021.297260
NODE_0000104	2021-04-03	2021.254600
hCoV-19/Canada/QC-1nDJXQ-Q9020396C2/2021_A.2.5.2_2021-05-02	2021-05-02	2021.332877
hCoV-19/Canada/QC-1nIEOQ-1046420599/2021_A.2.5.2_2021-04-15	2021-04-15	2021.286301
NODE_0000105	2021-02-22	2021.142609
NODE_0000106	2021-03-25	2021.227843
hCoV-19/Canada/QC-1nDJXW-48933545/2021_A.2.5.2_2021-05-18	2021-05-18	2021.376712
NODE_0000107	2021-03-25	2021.228767
hCoV-19/Canada/QC-1nIUH-5524347222/2021_A.2.5.2_2021-03-25	2021-03-25	2021.228767
NODE_0000108	2021-05-11	2021.357065
hCoV-19/Canada/QC-L00355253001A/2021_A.2.5.2_2021-05-12	2021-05-12	2021.360274
hCoV-19/Canada/QC-L00367133001/2021_A.2.5.2_2021-07-12	2021-07-12	2021.527397
NODE_0000109	2021-02-23	2021.145818
NODE_0000110	2021-03-02	2021.165753
hCoV-19/Canada/QC-1nKWV-W907236199/2021_A.2.5.2_2021-05-06	2021-05-06	2021.343836
hCoV-19/Canada/QC-1nMCY-T1023620/2021_A.2.5.2_2021-03-02	2021-03-02	2021.165753
