region,sequences,GISAID,Portal,date
Canada,285956,226433,153860,2022-01-01
Alberta,49436,37650,35122,2022-02-01
British Columbia,115473,102831,57531,2022-02-01
Manitoba,7935,4120,2538,2022-02-01
New Brunswick,4342,3815,3072,2022-02-01
Newfoundland and Labrador,1241,816,774,2022-02-01
Nova Scotia,2565,2336,1751,2022-02-01
Ontario,63035,57072,43472,2022-02-01
Prince Edward Island,428,0,0,2022-02-01
Quebec,54848,34902,29763,2022-02-01
Saskatchewan,21640,18833,10209,2022-02-01
Canada,320943,262375,184232,2022-02-01
Alberta,52548,40445,40361,2022-03-01
British Columbia,128202,113418,101690,2022-03-01
Manitoba,8482,4345,2538,2022-03-01
New Brunswick,4951,4286,3690,2022-03-01
Newfoundland and Labrador,1372,1069,933,2022-03-01
Nova Scotia,2778,2503,2501,2022-03-01
Ontario,66777,61248,49024,2022-03-01
Prince Edward Island,446,0,0,2022-03-01
Quebec,56433,35999,33687,2022-03-01
Saskatchewan,23059,20273,17311,2022-03-01
Canada,345048,283586,251735,2022-03-01
