"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"	"reference"
"JN.2"	0.02165128	0.01709	0.02621	384	"Canada"	"HV.1*"
"HV.1.4"	0.02149158	0.01412	0.02886	143	"Canada"	"HV.1*"
"XCH*"	0.02136301	0.0085	0.03422	40	"Alberta"	"HV.1"
"JG*"	0.02115144	0.01087	0.03143	82	"Nova Scotia"	"HV.1"
"HK.27.1"	0.0208283	0.00364	0.03801	33	"New Brunswick"	"HV.1*"
"HK.27.1*"	0.0208283	0.00364	0.03801	33	"New Brunswick"	"HV.1"
"HK.27*"	0.0208283	0.00364	0.03801	33	"New Brunswick"	"HV.1"
"HK.13"	0.02078878	0.00577	0.03581	46	"Ontario"	"HV.1*"
"JG.3*"	0.02029344	0.01687	0.02372	1081	"Ontario"	"HV.1"
"JD.1.1*"	0.01995103	0.01571	0.02419	676	"Ontario"	"HV.1"
"GK.2*"	0.01971431	0	0.04467	15	"New Brunswick"	"HV.1"
"HV.1.6*"	0.01942558	0.01548	0.02337	526	"Canada"	"HV.1"
"FL.13*"	0.01903331	0	0.04377	11	"Canada"	"HV.1"
"BA.2.86.1"	0.01898255	0.0131	0.02486	223	"Canada"	"HV.1*"
"XCP"	0.01838108	0	0.04598	13	"Ontario"	"HV.1*"
"HV.1.1"	0.01819539	0.01275	0.02365	260	"Canada"	"HV.1*"
"HV.1.1"	0.01744743	0.00577	0.02913	74	"Ontario"	"HV.1*"
"HV.1.2"	0.0171851	0.00341	0.03096	34	"Alberta"	"HV.1*"
"HK.3.4"	0.01682447	0.00649	0.02715	70	"Canada"	"HV.1*"
"HV.1.5"	0.01647124	0.00156	0.03138	29	"Alberta"	"HV.1*"
"HK.33"	0.01528496	0	0.03726	20	"Ontario"	"HV.1*"
"JD.1*"	0.01505691	0.01105	0.01906	713	"Ontario"	"HV.1"
"HV.1.6.1"	0.01467595	0.00546	0.02389	116	"Ontario"	"HV.1*"
"JN.2*"	0.01452698	0.00867	0.02039	203	"Alberta"	"HV.1"
"JR.1.1*"	0.0143848	0	0.02998	30	"Canada"	"HV.1"
"JG.3*"	0.0142647	0.00336	0.02517	77	"New Brunswick"	"HV.1"
"HK.3.2*"	0.01370875	0	0.03338	17	"Quebec"	"HV.1"
"KF.1"	0.01352116	0	0.03772	16	"Ontario"	"HV.1*"
"JN.2"	0.01336793	0.00745	0.01928	198	"Alberta"	"HV.1*"
"GK.1.8"	0.01331407	0.0035	0.02312	76	"Canada"	"HV.1*"
"HV.1.4"	0.01253441	0.00253	0.02254	95	"Ontario"	"HV.1*"
"JD.1.1"	0.01248453	0.00635	0.01862	264	"Ontario"	"HV.1*"
"KB.1"	0.01245782	0	0.0262	34	"Alberta"	"HV.1*"
"GK.1.8*"	0.0123359	0.0028	0.02187	80	"Canada"	"HV.1"
"JD.1.1*"	0.01212894	0.00953	0.01472	1247	"Canada"	"HV.1"
"JG.3.1"	0.01203184	0.00495	0.01911	145	"Canada"	"HV.1*"
"JR.1.1"	0.01201138	0	0.02926	24	"Canada"	"HV.1*"
"HK.3.2"	0.01175259	0.00408	0.01942	124	"Canada"	"HV.1*"
"JE.1*"	0.01150371	0.00137	0.02164	70	"Canada"	"HV.1"
"GW.5*"	0.01133229	0	0.03347	19	"Ontario"	"HV.1"
"GW*"	0.01133229	0	0.03347	19	"Ontario"	"HV.1"
"JD.1*"	0.01132525	0.00436	0.01829	151	"British Columbia"	"HV.1"
"JE.1.1.1"	0.01124413	0	0.03244	14	"Alberta"	"HV.1*"
"KH*"	0.01124413	0	0.03244	14	"Alberta"	"HV.1"
"JE.1.1*"	0.01124413	0	0.03244	14	"Alberta"	"HV.1"
"HV.1.6.1"	0.01110765	0.00465	0.01757	176	"Canada"	"HV.1*"
"JD.1.1*"	0.01110592	0.0041	0.01811	149	"British Columbia"	"HV.1"
"HK.13*"	0.01085226	0	0.02366	39	"Alberta"	"HV.1"
"HK.3.2.1"	0.0105793	0	0.03448	11	"Alberta"	"HV.1*"
"JD.1*"	0.01041668	0.00787	0.01296	1286	"Canada"	"HV.1"
"HV.1.5"	0.01024356	0.00385	0.01664	178	"Canada"	"HV.1*"
"HV.1.1"	0.01013776	0	0.02037	65	"British Columbia"	"HV.1*"
"JD.1*"	0.01002641	0	0.03235	20	"Newfoundland and Labrador"	"HV.1"
"JD.1.1*"	0.01002641	0	0.03235	20	"Newfoundland and Labrador"	"HV.1"
"GK.1.8"	0.00988064	0	0.02164	67	"Ontario"	"HV.1*"
"GK.1.8*"	0.00988064	0	0.02164	67	"Ontario"	"HV.1"
"HK.3*"	0.00980887	0.00434	0.01528	261	"British Columbia"	"HV.1"
"HV.1.5"	0.00974419	0.00029	0.0192	105	"Ontario"	"HV.1*"
"HK.13"	0.00937631	0	0.02235	38	"Alberta"	"HV.1*"
"JD.1*"	0.00937059	0	0.02298	41	"New Brunswick"	"HV.1"
"JD.1.1*"	0.00937059	0	0.02298	41	"New Brunswick"	"HV.1"
"HK.13*"	0.00924083	0.00269	0.01579	169	"Canada"	"HV.1"
"JG.3"	0.00912172	0.00583	0.01242	704	"Canada"	"HV.1*"
"KK*"	0.00898773	0.00049	0.01749	99	"Canada"	"HV.1"
"HK.3.2*"	0.00887254	0.00447	0.01328	388	"Canada"	"HV.1"
"HK.33"	0.00855323	0	0.02496	26	"Canada"	"HV.1*"
"EG.5.1.16"	0.00853719	0	0.02375	29	"British Columbia"	"HV.1*"
"EG.5.1.12"	0.00816209	0	0.02944	20	"Ontario"	"HV.1*"
"HK.3"	0.00773833	0.00055	0.01493	130	"Alberta"	"HV.1*"
"GK.2.1"	0.00749894	0	0.03067	11	"Nova Scotia"	"HV.1*"
"HV.2"	0.00716488	0	0.0196	42	"Alberta"	"HV.1*"
"HK.3*"	0.00710933	0.00127	0.01295	208	"Alberta"	"HV.1"
"HV.1.7"	0.00706511	0	0.02769	21	"Ontario"	"HV.1*"
"FY.5.1*"	0.00703625	0	0.02987	15	"Canada"	"HV.1"
"HK.3"	0.00693322	0.00045	0.01342	174	"British Columbia"	"HV.1*"
"XBB.1.16.26"	0.00690414	0	0.02437	23	"Canada"	"HV.1*"
"HK.3.2"	0.00679188	0	0.02801	14	"Quebec"	"HV.1*"
"HK.3.2.1"	0.00668993	0.00132	0.01206	254	"Canada"	"HV.1*"
"JG.3"	0.00664674	0	0.01835	55	"New Brunswick"	"HV.1*"
"EG.5.1.12"	0.00646281	0	0.02066	35	"Canada"	"HV.1*"
"EG.5.1.12"	0.0064142	0	0.03034	11	"Alberta"	"HV.1*"
"JG*"	0.00627374	0.0021	0.01045	398	"Alberta"	"HV.1"
"HC*"	0.00626078	0	0.02178	30	"Canada"	"HV.1"
"KB*"	0.00602268	0	0.0285	13	"British Columbia"	"HV.1"
"HK.3.2*"	0.00599866	0	0.01681	56	"Alberta"	"HV.1"
"JN.3*"	0.00596507	0	0.01938	39	"Canada"	"HV.1"
"GA.4.1*"	0.00589579	0	0.01833	58	"Ontario"	"HV.1"
"JN.3"	0.0056659	0	0.0192	38	"Canada"	"HV.1*"
"GA.4.1"	0.00566125	0	0.0183	56	"Ontario"	"HV.1*"
"HK.3.1"	0.00549413	0	0.0298	11	"Alberta"	"HV.1*"
"JD.1.1"	0.0054841	0.00194	0.00903	593	"Canada"	"HV.1*"
"HK.3.2"	0.00492994	0	0.02019	38	"Ontario"	"HV.1*"
"DV.7.1.5"	0.00484571	0	0.02757	17	"Ontario"	"HV.1*"
"KB.1"	0.00480512	0	0.01424	79	"Canada"	"HV.1*"
"KB*"	0.00458852	0	0.01671	44	"Alberta"	"HV.1"
"HK.3.2"	0.00436338	0	0.01679	42	"Alberta"	"HV.1*"
"HK.3*"	0.00426044	0	0.02666	21	"Newfoundland and Labrador"	"HV.1"
"JD.1.1"	0.00421506	0	0.02964	15	"Newfoundland and Labrador"	"HV.1*"
"BA.2.86.1"	0.00406413	0	0.01576	47	"Alberta"	"HV.1*"
"FL.15.1.1"	0.00390041	0	0.0172	39	"Canada"	"HV.1*"
"JD.1.1.8"	0.00371034	0	0.01255	90	"Canada"	"HV.1*"
"JG*"	0.00363501	0.00084	0.00643	1370	"Ontario"	"HV.1"
"EG.5.1.13"	0.0036155	0	0.01894	30	"New Brunswick"	"HV.1*"
"FL.15*"	0.00349721	0	0.02526	14	"British Columbia"	"HV.1"
"JD.1.1.5"	0.00322055	0	0.01725	35	"Canada"	"HV.1*"
"GK.2*"	0.00314408	0	0.02216	18	"Nova Scotia"	"HV.1"
"KF*"	0.00297201	0	0.01793	39	"Ontario"	"HV.1"
"JN.3*"	0.00288318	0	0.02051	28	"Ontario"	"HV.1"
"HK.3.2*"	0.00271028	0	0.0085	279	"Ontario"	"HV.1"
"HK.27.1*"	0.0026413	0	0.02396	14	"Alberta"	"HV.1"
"JD.1*"	0.00233694	0	0.00774	246	"Alberta"	"HV.1"
"JD.1.1*"	0.00233694	0	0.00774	246	"Alberta"	"HV.1"
"HK.3.2.1"	0.00230369	0	0.00854	238	"Ontario"	"HV.1*"
"GA*"	0.00217853	0	0.01423	60	"Ontario"	"HV.1"
"HK.27.1.1"	0.0021591	0	0.02224	17	"Canada"	"HV.1*"
"JD.1*"	0.00215143	0	0.0161	37	"Quebec"	"HV.1"
"JD.1.1*"	0.00215143	0	0.0161	37	"Quebec"	"HV.1"
"EG.5.1.13"	0.00204437	0	0.00829	182	"Canada"	"HV.1*"
"JG*"	0.00200919	0.00017	0.00385	2410	"Canada"	"HV.1"
"KF*"	0.00193662	0	0.01272	60	"Canada"	"HV.1"
"HK.13"	0.00190402	0	0.00921	132	"Canada"	"HV.1*"
"JG.3.1"	0.0017955	0	0.01079	109	"Ontario"	"HV.1*"
"FY.5*"	0.00177633	0	0.01591	32	"Alberta"	"HV.1"
"KC*"	0.00143639	0	0.00623	312	"Canada"	"HV.1"
"HV.2"	0.00143255	0	0.0104	87	"Canada"	"HV.1*"
"KC.1"	0.00135803	0	0.00616	311	"Canada"	"HV.1*"
"HN.4"	0.00132673	0	0.01104	74	"Canada"	"HV.1*"
"JN.3"	0.00120257	0	0.01905	27	"Ontario"	"HV.1*"
"HN.5"	0.00094933	0	0.01263	48	"Alberta"	"HV.1*"
"FY.5*"	0.00065942	0	0.02342	17	"Ontario"	"HV.1"
"JE.1*"	0.00063694	0	0.01463	33	"Alberta"	"HV.1"
"FL.20.2"	0.00025828	0	0.02376	12	"British Columbia"	"HV.1*"
"HN.4*"	0.00022044	0	0.00981	76	"Canada"	"HV.1"
"XDA"	0.00006801	0	0.01851	19	"Alberta"	"HV.1*"
"XDA*"	0.00006801	0	0.01851	19	"Alberta"	"HV.1"
