"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"	"reference"
"JN.1.8"	0.06869726	0.0532	0.0842	42	"Ontario"	"HV.1*"
"JN.1"	0.06866052	0.05545	0.08187	183	"Quebec"	"HV.1*"
"JN.1.1"	0.06861861	0.06469	0.07254	901	"Canada"	"HV.1*"
"JN*"	0.06856302	0.04771	0.08941	116	"Newfoundland and Labrador"	"HV.1"
"BA.2.86*"	0.06856302	0.04771	0.08941	116	"Newfoundland and Labrador"	"HV.1"
"JN.1*"	0.0684365	0.04767	0.08921	109	"Newfoundland and Labrador"	"HV.1"
"JN.1.19"	0.06842265	0.05496	0.08188	51	"Canada"	"HV.1*"
"JN.1.22"	0.06833369	NA	NA	34	"New Brunswick"	"HV.1*"
"BA.2.86*"	0.06689685	0.057	0.0768	658	"Quebec"	"HV.1"
"JN*"	0.06688643	0.05699	0.07679	657	"Quebec"	"HV.1"
"JN.1.1"	0.06470372	0.05684	0.07257	203	"Alberta"	"HV.1*"
"JN.1.1"	0.06376535	0.04742	0.08011	77	"Quebec"	"HV.1*"
"JG.3.2"	0.06289946	0.04793	0.07787	49	"British Columbia"	"HV.1*"
"JG.3.2"	0.06276464	0.05375	0.07178	124	"Alberta"	"HV.1*"
"JN.1.22"	0.062724	0.04129	0.08416	27	"Nova Scotia"	"HV.1*"
"JN.1.1"	0.06219573	NA	NA	15	"Nova Scotia"	"HV.1*"
"JN*"	0.06192805	0.05811	0.06575	2038	"Alberta"	"HV.1"
"BA.2.86*"	0.06192805	0.05811	0.06575	2038	"Alberta"	"HV.1"
"HR.1.1"	0.06100813	0.02557	0.09645	14	"Nova Scotia"	"HV.1*"
"JF.1.1.2"	0.05850777	0.03919	0.07782	21	"Canada"	"HV.1*"
"JN.1.1"	0.0566553	NA	NA	13	"New Brunswick"	"HV.1*"
"JN.1.19"	0.05622303	0.03035	0.0821	13	"British Columbia"	"HV.1*"
"JN.1.2"	0.05444951	0.03161	0.07729	19	"Quebec"	"HV.1*"
"JG.3.2"	0.05316281	0.03232	0.074	31	"New Brunswick"	"HV.1*"
"JN.1.2"	0.05010824	0.02404	0.07617	12	"Nova Scotia"	"HV.1*"
"JN.2*"	0.04837801	0.04493	0.05183	766	"Canada"	"HV.1"
"JG.3.2"	0.04796436	0.03398	0.06194	50	"Nova Scotia"	"HV.1*"
"KL.1.1"	0.04689126	0.03519	0.05859	61	"Ontario"	"HV.1*"
"JN.2*"	0.04672586	0.04071	0.05274	255	"Ontario"	"HV.1"
"JN.1.2"	0.04602685	0.02886	0.06319	29	"Alberta"	"HV.1*"
"JN.1.4"	0.04574599	0.0249	0.06659	38	"Newfoundland and Labrador"	"HV.1*"
"JN.1.4*"	0.04574599	0.0249	0.06659	38	"Newfoundland and Labrador"	"HV.1"
"JG.3.1"	0.04487139	0.02693	0.06281	19	"Alberta"	"HV.1*"
"JN.1.6"	0.04428222	0.02246	0.06611	19	"British Columbia"	"HV.1*"
"JN.1.6*"	0.04428222	0.02246	0.06611	19	"British Columbia"	"HV.1"
"BA.2"	0.04370001	0.01958	0.06782	26	"Canada"	"HV.1*"
"JD.1.1.1"	0.04341115	0.02733	0.05949	28	"British Columbia"	"HV.1*"
"JG.3.2"	0.04313819	0.04016	0.04611	1067	"Canada"	"HV.1*"
"XBB.1.5*"	0.04173698	0.00917	0.0743	14	"Manitoba"	"HV.1"
"JN.2"	0.04144008	0.03002	0.05286	57	"British Columbia"	"HV.1*"
"KL.1.1"	0.04125111	0.03085	0.05165	64	"Canada"	"HV.1*"
"HK.3.4"	0.0411411	0.02161	0.06068	20	"Ontario"	"HV.1*"
"KL.1*"	0.04098786	0.03499	0.04699	262	"Ontario"	"HV.1"
"KH*"	0.04095231	0.02859	0.05332	44	"Canada"	"HV.1"
"JG.3.2"	0.04082287	0.03694	0.04471	788	"Ontario"	"HV.1*"
"JG.3*"	0.03916596	0.03372	0.04461	275	"Alberta"	"HV.1"
"JE.1.1*"	0.03907503	0.02691	0.05124	45	"Canada"	"HV.1"
"HK.13.1"	0.03881924	0.02185	0.05579	23	"Canada"	"HV.1*"
"JE.1*"	0.03864447	0.02341	0.05388	29	"British Columbia"	"HV.1"
"KH*"	0.03864447	0.02341	0.05388	29	"British Columbia"	"HV.1"
"JE.1.1*"	0.03864447	0.02341	0.05388	29	"British Columbia"	"HV.1"
"HK.3.7"	0.03843375	0.01793	0.05894	18	"Ontario"	"HV.1*"
"KL.1"	0.03825613	0.03166	0.04486	201	"Ontario"	"HV.1*"
"HV.1.2"	0.03761194	0.01373	0.0615	13	"Ontario"	"HV.1*"
"JD.1.1.3"	0.03717634	0.02464	0.04971	42	"Canada"	"HV.1*"
"BA.2.86.1"	0.03692849	0.02889	0.04497	120	"Ontario"	"HV.1*"
"KL.1*"	0.03669645	0.03147	0.04192	270	"Canada"	"HV.1"
"JG.3*"	0.03643755	0.02595	0.04692	91	"Nova Scotia"	"HV.1"
"HV.1.6*"	0.03520848	0.02059	0.04982	31	"British Columbia"	"HV.1"
"JG.3*"	0.03496624	0.02744	0.04249	136	"British Columbia"	"HV.1"
"KL.1"	0.03475905	0.0289	0.04062	206	"Canada"	"HV.1*"
"JE.1.1.1"	0.03446163	0.01839	0.05053	25	"British Columbia"	"HV.1*"
"FY.5.1.1"	0.03433335	0.01585	0.05281	19	"Canada"	"HV.1*"
"HK.13.2"	0.03333354	0.013	0.05367	18	"Ontario"	"HV.1*"
"JD.1.1.8"	0.0331458	0.02001	0.04628	44	"Ontario"	"HV.1*"
"KK*"	0.0331458	0.02001	0.04628	44	"Ontario"	"HV.1"
"HK.3.7"	0.0328585	0.01498	0.05074	20	"Canada"	"HV.1*"
"JE.1.1.1"	0.03272129	0.01943	0.04601	37	"Canada"	"HV.1*"
"HK.13.1"	0.03248418	0.01206	0.0529	15	"British Columbia"	"HV.1*"
"HK.3.2"	0.03215679	0.01959	0.04472	48	"Ontario"	"HV.1*"
"KL*"	0.03202735	0.01545	0.0486	23	"British Columbia"	"HV.1"
"JN.2*"	0.0311717	0.0087	0.05364	14	"Quebec"	"HV.1"
"JG*"	0.03105749	0.02129	0.04082	102	"Nova Scotia"	"HV.1"
"KL*"	0.03059142	0.0256	0.03559	371	"Ontario"	"HV.1"
"JN.11"	0.02971754	0.007	0.05244	12	"Canada"	"HV.1*"
"HK.13.2"	0.02962964	0.01086	0.0484	18	"Canada"	"HV.1*"
"JN.2*"	0.02960698	0.0239	0.03532	198	"Alberta"	"HV.1"
"GW.5.3.1"	0.02887075	0.00401	0.05373	12	"Ontario"	"HV.1*"
"JN.2"	0.02742853	0.01996	0.0349	145	"Ontario"	"HV.1*"
"JN.2"	0.02646703	0.02225	0.03068	402	"Canada"	"HV.1*"
"JG.3*"	0.02545637	0.02332	0.02759	1938	"Canada"	"HV.1"
"BA.2.86.1"	0.02539944	0.02026	0.03054	255	"Canada"	"HV.1*"
"HV.1.1"	0.0253007	0.01546	0.03514	62	"Alberta"	"HV.1*"
"JG.3"	0.02522482	0.01241	0.03804	39	"Nova Scotia"	"HV.1*"
"HV.1.3"	0.02474314	0.00673	0.04275	20	"Canada"	"HV.1*"
"XCH.1"	0.02465705	0.01174	0.03757	35	"Alberta"	"HV.1*"
"XCH*"	0.02436696	0.01162	0.03712	36	"Alberta"	"HV.1"
"HK.13*"	0.02377965	0.01243	0.03513	47	"British Columbia"	"HV.1"
"JD.1.1.1"	0.02353149	0.01314	0.03392	56	"Alberta"	"HV.1*"
"KL*"	0.02333959	0.01927	0.02741	441	"Canada"	"HV.1"
"JG*"	0.02304757	0.01862	0.02748	367	"Alberta"	"HV.1"
"HV.1.6*"	0.02277519	0.01829	0.02727	455	"Ontario"	"HV.1"
"BA.2.86.1"	0.02275893	0.01303	0.03248	67	"British Columbia"	"HV.1*"
"GK.2*"	0.02249453	0	0.04738	16	"New Brunswick"	"HV.1"
"GW.5*"	0.02212414	0.00047	0.04377	16	"Ontario"	"HV.1"
"JG.3"	0.02199833	0.01296	0.03104	79	"British Columbia"	"HV.1*"
"HV.1.6.1"	0.02179884	0.00254	0.04106	16	"British Columbia"	"HV.1*"
"JN.2"	0.02145776	0.01509	0.02783	171	"Alberta"	"HV.1*"
"JG.3*"	0.0209123	0.018	0.02382	1268	"Ontario"	"HV.1"
"JD.1.1"	0.02071296	0.00308	0.03835	34	"New Brunswick"	"HV.1*"
"HV.1.5"	0.02062411	0.00746	0.03378	34	"Alberta"	"HV.1*"
"HK.3.2*"	0.02025839	0.00551	0.035	28	"British Columbia"	"HV.1"
"JD.1.1.1"	0.02011734	0.01607	0.02417	441	"Canada"	"HV.1*"
"JE.1.1.1"	0.01998905	0	0.04294	11	"Alberta"	"HV.1*"
"KH*"	0.01998905	0	0.04294	11	"Alberta"	"HV.1"
"JE.1.1*"	0.01998905	0	0.04294	11	"Alberta"	"HV.1"
"HK.13"	0.01994379	0.00638	0.03351	32	"British Columbia"	"HV.1*"
"EG.5.1.13"	0.01961933	0	0.03994	14	"Alberta"	"HV.1*"
"HV.1.1"	0.0193454	0.00995	0.02874	70	"British Columbia"	"HV.1*"
"HC.2"	0.01929723	0.00114	0.03746	20	"Canada"	"HV.1*"
"JD.1.1.1"	0.01921845	0.01424	0.02419	354	"Ontario"	"HV.1*"
"JD.1.1*"	0.01878248	0.01521	0.02235	781	"Ontario"	"HV.1"
"JG.3"	0.01871917	0.01152	0.02592	129	"Alberta"	"HV.1*"
"HK.26"	0.01863588	0.00592	0.03136	38	"British Columbia"	"HV.1*"
"JE.1*"	0.01861916	0.00921	0.02803	75	"Canada"	"HV.1"
"KC.1"	0.01856903	0.01288	0.02426	250	"Ontario"	"HV.1*"
"KC*"	0.01856903	0.01288	0.02426	250	"Ontario"	"HV.1"
"HV.1.1"	0.017779	0.01282	0.02274	282	"Canada"	"HV.1*"
"HV.1.5"	0.01757825	0.00962	0.02554	123	"Ontario"	"HV.1*"
"JG.3*"	0.0168515	0.00623	0.02748	92	"New Brunswick"	"HV.1"
"HV.1.4"	0.01659573	0.00965	0.02354	142	"Canada"	"HV.1*"
"JG*"	0.01647457	0.01455	0.0184	2320	"Canada"	"HV.1"
"JD.1*"	0.0164393	0.01294	0.01994	805	"Ontario"	"HV.1"
"HK.20.1"	0.0164306	0.00531	0.02755	51	"Alberta"	"HV.1*"
"HV.1.5"	0.01638507	0.01034	0.02243	187	"Canada"	"HV.1*"
"HK.3.2"	0.01632935	0	0.03292	22	"British Columbia"	"HV.1*"
"HK.3.2*"	0.01608027	0	0.03947	15	"Quebec"	"HV.1"
"HV.1.6*"	0.015969	0.01237	0.01957	578	"Canada"	"HV.1"
"HK.13*"	0.01587965	0.00949	0.02227	168	"Canada"	"HV.1"
"JD.1.1.7"	0.01565203	0.00475	0.02656	67	"Ontario"	"HV.1*"
"XDA"	0.01555098	0	0.03553	15	"British Columbia"	"HV.1*"
"HK.13*"	0.01517113	0.00452	0.02583	70	"Ontario"	"HV.1"
"GW.5.3.1"	0.01490181	0	0.03472	17	"Canada"	"HV.1*"
"JG*"	0.01481717	0.01209	0.01754	1424	"Ontario"	"HV.1"
"JD.1*"	0.01464419	0.00776	0.02153	145	"British Columbia"	"HV.1"
"JD.1.1*"	0.01448395	0.00753	0.02143	142	"British Columbia"	"HV.1"
"JN.2"	0.01448145	0	0.04123	11	"Quebec"	"HV.1*"
"HC*"	0.01439004	0	0.03158	22	"Canada"	"HV.1"
"JG*"	0.01407278	0.00831	0.01984	208	"British Columbia"	"HV.1"
"JD.1.1"	0.0140278	0.00862	0.01943	291	"Ontario"	"HV.1*"
"XBB.1.16.26"	0.01354983	0	0.03801	13	"Ontario"	"HV.1*"
"JD.1.1*"	0.01341384	0.01089	0.01594	1305	"Canada"	"HV.1"
"HV.1.2"	0.01337875	0	0.02709	33	"Alberta"	"HV.1*"
"HK.13*"	0.01334602	0.00038	0.02631	37	"Alberta"	"HV.1"
"JD.1.1*"	0.0130576	0	0.02923	38	"New Brunswick"	"HV.1"
"JD.1*"	0.0130576	0	0.02923	38	"New Brunswick"	"HV.1"
"JD.1.1.7"	0.01253335	0.00354	0.02153	86	"Canada"	"HV.1*"
"HV.1.2"	0.01253105	0.00209	0.02297	63	"Canada"	"HV.1*"
"HK.3.2.2"	0.01250712	0	0.03703	11	"Canada"	"HV.1*"
"JD.1*"	0.01229802	0.0098	0.0148	1333	"Canada"	"HV.1"
"HK.13"	0.01220553	0	0.02541	36	"Alberta"	"HV.1*"
"XCH"	0.01213994	0	0.02602	41	"Ontario"	"HV.1*"
"XDA*"	0.01210873	0	0.03158	16	"British Columbia"	"HV.1"
"JR.1.1"	0.0119907	0	0.03472	15	"Ontario"	"HV.1*"
"JR.1.1*"	0.0119907	0	0.03472	15	"Ontario"	"HV.1"
"GA.4.1"	0.01193973	0	0.03349	13	"British Columbia"	"HV.1*"
"GA.4.1*"	0.01193973	0	0.03349	13	"British Columbia"	"HV.1"
"HK.3.2"	0.01174057	0.00446	0.01902	132	"Canada"	"HV.1*"
"XCP"	0.01169384	0	0.03197	16	"Canada"	"HV.1*"
"KK*"	0.01113003	0.00291	0.01936	103	"Canada"	"HV.1"
"JG*"	0.01086452	0	0.03865	16	"Manitoba"	"HV.1"
"GA*"	0.01080644	0	0.03162	14	"British Columbia"	"HV.1"
"HK.20.1"	0.01065683	0.00183	0.01949	90	"Canada"	"HV.1*"
"JD.1.1.3"	0.01050595	0	0.02629	25	"British Columbia"	"HV.1*"
"JG*"	0.0104924	0.00063	0.02036	101	"New Brunswick"	"HV.1"
"FY.5*"	0.01047316	0	0.03139	18	"Ontario"	"HV.1"
"KB.1"	0.01012433	0	0.02351	36	"Alberta"	"HV.1*"
"HC.2"	0.00997225	0	0.03226	16	"Ontario"	"HV.1*"
"HC*"	0.00997225	0	0.03226	16	"Ontario"	"HV.1"
"HK.3.4"	0.00995525	0.00035	0.01956	76	"Canada"	"HV.1*"
"HV.1.4"	0.00989443	0.00046	0.01933	92	"Ontario"	"HV.1*"
"HV.1.4"	0.00979053	0	0.02552	25	"British Columbia"	"HV.1*"
"BA.2.86.1"	0.00962187	0	0.02222	40	"Alberta"	"HV.1*"
"HV.1.1"	0.0095575	0	0.01935	85	"Ontario"	"HV.1*"
"HK.13"	0.00954952	0.0021	0.017	127	"Canada"	"HV.1*"
"JD.1.1"	0.00927421	0.00564	0.01291	571	"Canada"	"HV.1*"
"HK.27.1"	0.00916969	0	0.02571	35	"New Brunswick"	"HV.1*"
"HK.27.1*"	0.00916969	0	0.02571	35	"New Brunswick"	"HV.1"
"HK.27*"	0.00916969	0	0.02571	35	"New Brunswick"	"HV.1"
"JN.3*"	0.0090746	0	0.02116	48	"Canada"	"HV.1"
"HK.3.2"	0.00863584	0	0.03481	12	"Quebec"	"HV.1*"
"KC.1"	0.00854593	0.00392	0.01317	341	"Canada"	"HV.1*"
"KC*"	0.00854478	0.00393	0.01316	342	"Canada"	"HV.1"
"HN.4"	0.00852811	0	0.02491	30	"Ontario"	"HV.1*"
"HN.4*"	0.00852811	0	0.02491	30	"Ontario"	"HV.1"
"JD.1.1.8"	0.00831833	0	0.01701	94	"Canada"	"HV.1*"
"GK.2"	0.00831188	0	0.03575	12	"New Brunswick"	"HV.1*"
"JG.3.1"	0.00811375	0.00074	0.01549	132	"Canada"	"HV.1*"
"JN.3*"	0.00809226	0	0.02306	36	"Ontario"	"HV.1"
"GK.2.1"	0.00770988	0	0.02269	32	"Canada"	"HV.1*"
"XDA*"	0.00767378	0	0.02782	20	"Ontario"	"HV.1"
"JD.1.1*"	0.00761804	0	0.03329	20	"Newfoundland and Labrador"	"HV.1"
"JD.1*"	0.00761804	0	0.03329	20	"Newfoundland and Labrador"	"HV.1"
"JN.3"	0.00714042	0	0.01957	46	"Canada"	"HV.1*"
"XDA"	0.00686278	0	0.01796	58	"Canada"	"HV.1*"
"XCH"	0.00673081	0	0.01858	51	"Canada"	"HV.1*"
"XBB.1.5*"	0.00623805	0	0.01654	77	"Nova Scotia"	"HV.1"
"XDA*"	0.0055954	0	0.01649	61	"Canada"	"HV.1"
"JG.3"	0.00534519	0.00211	0.00858	735	"Canada"	"HV.1*"
"JN.3"	0.00518766	0	0.02074	34	"Ontario"	"HV.1*"
"DV.7.1.5"	0.00517316	0	0.02789	16	"Ontario"	"HV.1*"
"HV.1.6.1"	0.00509334	0	0.01394	109	"Ontario"	"HV.1*"
"HK.3"	0.00485598	0	0.01249	183	"New Brunswick"	"HV.1*"
"JD.1.1"	0.00473366	0	0.01426	77	"Alberta"	"HV.1*"
"JD.1.1"	0.00472564	0	0.02342	18	"Nova Scotia"	"HV.1*"
"KB*"	0.00449558	0	0.01644	49	"Alberta"	"HV.1"
"HK.13"	0.00417046	0	0.01739	48	"Ontario"	"HV.1*"
"JF.4"	0.00408972	0	0.0217	27	"Ontario"	"HV.1*"
"BA.2.86.1"	0.0037558	0	0.02698	16	"New Brunswick"	"HV.1*"
"EG.5.1.8"	0.00353007	0	0.01344	83	"Ontario"	"HV.1*"
"HK.3"	0.00345702	0.00077	0.00614	1162	"Canada"	"HV.1*"
"HK.3"	0.00342026	0	0.01121	122	"Alberta"	"HV.1*"
"XDA"	0.00327794	0	0.02447	19	"Ontario"	"HV.1*"
"JD.1.1*"	0.00320023	0	0.00908	225	"Alberta"	"HV.1"
"JD.1*"	0.00320023	0	0.00908	225	"Alberta"	"HV.1"
"JG.3"	0.00289314	0	0.01529	58	"New Brunswick"	"HV.1*"
"HK.27.1"	0.0028328	0	0.01161	97	"Canada"	"HV.1*"
"HK.3.2*"	0.00276409	0	0.00725	390	"Canada"	"HV.1"
"JE.1*"	0.00257775	0	0.01879	27	"Alberta"	"HV.1"
"HK.3*"	0.00253451	0.00027	0.0048	1774	"Canada"	"HV.1"
"XBB.1.5*"	0.00250138	0	0.0135	91	"New Brunswick"	"HV.1"
"JD.1.1"	0.00238945	0	0.01232	69	"British Columbia"	"HV.1*"
"HK.3*"	0.0023354	0	0.0086	200	"Alberta"	"HV.1"
"EG.5.1.4"	0.00219321	0	0.01203	67	"British Columbia"	"HV.1*"
"JJ*"	0.00219321	0	0.01203	67	"British Columbia"	"HV.1"
"HK.28"	0.00187154	0	0.02517	13	"Alberta"	"HV.1*"
"HK.33"	0.00163631	0	0.02276	19	"Ontario"	"HV.1*"
"HK.3.2*"	0.00151122	0	0.00724	280	"Ontario"	"HV.1"
"HK.8.1"	0.00146362	0	0.02504	15	"Canada"	"HV.1*"
"FY.5*"	0.00138067	0	0.01677	30	"Alberta"	"HV.1"
"HV.1.6.1"	0.00122936	0	0.00794	171	"Canada"	"HV.1*"
"JD.1.1*"	0.00093819	0	0.01839	23	"Nova Scotia"	"HV.1"
"JD.1*"	0.00093819	0	0.01839	23	"Nova Scotia"	"HV.1"
"HN.5"	0.0008474	0	0.01392	43	"Alberta"	"HV.1*"
"HK.3*"	0.00080992	0	0.00419	944	"Ontario"	"HV.1"
"KB*"	0.00074371	0	0.01054	87	"Ontario"	"HV.1"
"XBB.1.5*"	0.00062356	0	0.00356	1231	"Ontario"	"HV.1"
"XBB.1.5*"	0.00058161	0	0.00627	238	"British Columbia"	"HV.1"
"HK.27.1*"	0.00057522	0	0.00881	113	"Canada"	"HV.1"
"XBB.1.5*"	0.00053166	0	0.00261	2153	"Canada"	"HV.1"
"FL.15*"	0.00051356	0	0.02494	11	"British Columbia"	"HV.1"
"XBB.1.16.11"	0.0005104	0	0.02081	16	"British Columbia"	"HV.1*"
"FL.13*"	0.00045747	0	0.02618	11	"Canada"	"HV.1"
"HK.20.1"	0.00041102	0	0.01966	18	"British Columbia"	"HV.1*"
"JF.1"	0.00029767	0	0.01196	50	"British Columbia"	"HV.1*"
"DV.7.1*"	0.00024432	0	0.02472	11	"British Columbia"	"HV.1"
"CH.1.1*"	0.00024432	0	0.02472	11	"British Columbia"	"HV.1"
