#node	date	numeric date
hCoV-19/Canada/ON-PHL-20-01841/2020_A.19_2020-08-10	2020-08-10	2020.607923
NODE_0000071	2021-01-29	2021.078082
hCoV-19/Canada/QC-1nMCY-S9293455/2021_A.18_2021-01-29	2021-01-29	2021.078082
NODE_0000072	2021-02-05	2021.096858
hCoV-19/Canada/QC-1nMCY-T0062237/2021_A.18_2021-02-06	2021-02-06	2021.100000
NODE_0000073	2021-02-07	2021.102337
hCoV-19/Canada/QC-1nDJXQ-Q6152404C2/2021_A.18_2021-02-15	2021-02-15	2021.124658
hCoV-19/Canada/QC-1nMCY-T0083172/2021_A.18_2021-02-08	2021-02-08	2021.105479
NODE_0000074	2020-03-10	2020.190366
NODE_0000075	2020-03-10	2020.190366
hCoV-19/Canada/QC-JUS-V5210896/2020_A_2020-03-20	2020-03-20	2020.217213
NODE_0000076	2020-10-24	2020.812513
hCoV-19/Canada/BC-BCCDC-37442/2021_A.21_2021-01-18	2021-01-18	2021.047945
hCoV-19/Canada/QC-1nMCY-S9122635/2021_A.21_2021-01-12	2021-01-12	2021.031507
NODE_0000077	2020-04-23	2020.309843
hCoV-19/Canada/MB-NML-1463/2020_A_2020-08-12	2020-08-12	2020.613388
NODE_0000078	2020-04-26	2020.319479
NODE_0000079	2020-05-09	2020.353345
NODE_0000080	2020-05-09	2020.353345
hCoV-19/Canada/BC-BCCDC-4758/2020_A_2020-08-07	2020-08-07	2020.599727
hCoV-19/Canada/ON-PHL-20-00979/2020_A.25_2020-06-08	2020-06-08	2020.435792
NODE_0000081	2020-05-10	2020.356487
NODE_0000082	2021-01-27	2021.071648
hCoV-19/Canada/ON-PHL-21-04564/2021_A.29_2021-02-11	2021-02-11	2021.113699
NODE_0000083	2021-01-27	2021.072603
hCoV-19/Canada/ON-PHL-21-05654/2021_A.29_2021-02-17	2021-02-17	2021.130137
hCoV-19/Canada/ON-PHL-21-01557-v3/2021_A.29_2021-01-27	2021-01-27	2021.072603
NODE_0000084	2021-01-27	2021.073290
NODE_0000085	2021-02-14	2021.121358
hCoV-19/Canada/ON-PHL-21-07812-v2/2021_A_2021-03-10	2021-03-10	2021.187671
NODE_0000086	2021-02-15	2021.123502
hCoV-19/Canada/ON-PHL-21-06430/2021_A_2021-03-06	2021-03-06	2021.176712
hCoV-19/Canada/Qc-L00334987/2021_A_2021-02-21	2021-02-21	2021.141096
NODE_0000087	2021-02-23	2021.146173
hCoV-19/Canada/ON-PHL-21-04775-v2/2021_A_2021-02-24	2021-02-24	2021.149315
NODE_0000088	2021-03-30	2021.241622
hCoV-19/Canada/QC-1nKWV-W908063299/2021_A_2021-05-07	2021-05-07	2021.346575
NODE_0000089	2021-05-01	2021.329735
hCoV-19/Canada/QC-L00350908001A/2021_A_2021-05-02	2021-05-02	2021.332877
hCoV-19/Canada/QC-L00353090/2021_A_2021-05-10	2021-05-10	2021.354795
NODE_0000090	2020-06-19	2020.465301
hCoV-19/CANADA/ABPHL-11380/2021_A_2021-03-26	2021-03-26	2021.231507
NODE_0000091	2020-10-31	2020.832826
NODE_0000092	2020-11-01	2020.835969
hCoV-19/Canada/NB-NML-3296/2021_A.23.1_2021-01-03	2021-01-03	2021.006849
hCoV-19/Canada/ON-PHL-21-00207/2020_A.23.1_2020-12-24	2020-12-24	2020.979508
NODE_0000093	2020-11-08	2020.854832
NODE_0000094	2021-02-20	2021.138726
NODE_0000095	2021-02-21	2021.141868
hCoV-19/Canada/ON-PHL-21-09091/2021_A.23.1_2021-03-17	2021-03-17	2021.206849
hCoV-19/Canada/ON-PHL-21-07847-v2/2021_A.23.1_2021-03-03	2021-03-03	2021.168493
NODE_0000096	2021-04-30	2021.327987
hCoV-19/Canada/ON-PHL-21-18056/2021_A.23.1_2021-05-20	2021-05-20	2021.382192
NODE_0000097	2021-05-01	2021.331129
hCoV-19/Canada/ON-PHL-21-16450/2021_A.23.1_2021-05-06	2021-05-06	2021.343836
hCoV-19/Canada/ON-PHL-21-17186/2021_A.23.1_2021-05-11	2021-05-11	2021.357534
NODE_0000098	2020-12-02	2020.918494
NODE_0000099	2020-12-02	2020.919399
hCoV-19/Canada/AB-ABPHL-04184/2020_A.23.1_2020-12-02	2020-12-02	2020.919399
NODE_0000100	2020-12-15	2020.954226
hCoV-19/Canada/AB-ABPHL-04881/2021_A.23.1_2021-02-11	2021-02-11	2021.113699
hCoV-19/Canada/AB-ABPHL-02859/2021_A.23.1_2021-01-22	2021-01-22	2021.058904
NODE_0000101	2020-12-03	2020.921636
NODE_0000102	2020-12-03	2020.922114
hCoV-19/Canada/AB-ABPHL-02416/2020_A.23.1_2020-12-14	2020-12-14	2020.952186
NODE_0000103	2020-12-29	2020.992252
hCoV-19/Canada/BC-BCCDC-168629/2021_A.23.1_2021-01-25	2021-01-25	2021.067123
NODE_0000104	2020-12-29	2020.993169
hCoV-19/Canada/AB-ABPHL-03536/2020_A.23.1_2020-12-29	2020-12-29	2020.993169
hCoV-19/Canada/AB-ABPHL-03005/2021_A.23.1_2021-01-13	2021-01-13	2021.034247
NODE_0000105	2020-12-04	2020.924778
hCoV-19/Canada/AB-ABPHL-05206/2021_A.23.1_2021-02-03	2021-02-03	2021.091781
NODE_0000106	2020-12-16	2020.958262
hCoV-19/Canada/AB-ABPHL-02717/2021_A.23.1_2021-01-07	2021-01-07	2021.017808
NODE_0000107	2021-03-05	2021.173539
hCoV-19/CANADA/ABPHL-11812/2021_A.23.1_2021-03-24	2021-03-24	2021.226027
NODE_0000108	2021-03-07	2021.180045
NODE_0000109	2021-03-08	2021.183187
hCoV-19/CANADA/ABPHL-13590/2021_A.23.1_2021-04-14	2021-04-14	2021.283562
hCoV-19/Canada/AB-ABPHL-17350/2021_A.23.1_2021-05-01	2021-05-01	2021.330137
NODE_0000110	2021-04-07	2021.263901
hCoV-19/CANADA/ABPHL-12076/2021_A.23.1_2021-04-07	2021-04-07	2021.264384
hCoV-19/CANADA/ABPHL-20494/2021_A.23.1_2021-06-18	2021-06-18	2021.461644
NODE_0000111	2020-01-17	2020.045205
NODE_0000112	2020-01-18	2020.048347
NODE_0000113	2020-03-01	2020.164645
hCoV-19/Canada/Qc-LSPQ-L00241344/2020_A.5_2020-03-27	2020-03-27	2020.236339
hCoV-19/Canada/NL_72/2020_A.5_2020-03-19	2020-03-19	2020.214481
NODE_0000114	2020-01-18	2020.048347
NODE_0000115	2020-02-16	2020.127534
NODE_0000116	2020-03-09	2020.186945
hCoV-19/Canada/QC-JUS-V5290502/2020_A_2020-03-27	2020-03-27	2020.236339
hCoV-19/Canada/NB_271/2020_A_2020-04-10	2020-04-10	2020.274590
NODE_0000117	2020-02-16	2020.127534
hCoV-19/Canada/ON-PHL-20-90259/2020_A_2020-03-14	2020-03-14	2020.200820
NODE_0000118	2020-03-09	2020.187528
hCoV-19/Canada/ON-PHL-20-80425/2020_A.3_2020-04-05	2020-04-05	2020.260929
NODE_0000119	2020-03-18	2020.211749
hCoV-19/Canada/NS-NML-931/2020_A.3_2020-03-25	2020-03-25	2020.230874
hCoV-19/Canada/ON-PHL-20-80109/2020_A.3_2020-03-18	2020-03-18	2020.211749
NODE_0000120	2020-03-02	2020.167331
hCoV-19/Canada/BC-BCCDC-92439/2021_A_2021-05-20	2021-05-20	2021.382192
