"Date"	"Lineage"	"Frequency"	"% Frequency"
2023-07-17	"FL.1.5"	1	"0%"
2023-07-17	"FL.1.5.1"	8	"1%"
2023-07-17	"FL.10.1"	5	"1%"
2023-07-17	"FL.15"	11	"2%"
2023-07-17	"FL.20"	1	"0%"
2023-07-17	"FL.4"	14	"2%"
2023-07-17	"FU.1"	2	"0%"
2023-07-17	"FU.2.1"	7	"1%"
2023-07-17	"FY.5"	13	"2%"
2023-07-17	"GE.1"	2	"0%"
2023-07-17	"GJ.1.2"	14	"2%"
2023-07-17	"GK.1.1"	1	"0%"
2023-07-17	"GK.2"	0	"0%"
2023-07-17	"GK.3.1"	0	"0%"
2023-07-17	"GW.1"	4	"1%"
2023-07-17	"HF.1"	14	"2%"
2023-07-17	"HK.3"	0	"0%"
2023-07-17	"HR.1"	0	"0%"
2023-07-17	"HV.1"	0	"0%"
2023-07-17	"other lineages"	142	"24%"
2023-07-17	"XBB.1.16"	71	"12%"
2023-07-17	"XBB.1.16.1"	10	"2%"
2023-07-17	"XBB.1.16.11"	10	"2%"
2023-07-17	"XBB.1.16.15"	1	"0%"
2023-07-17	"XBB.1.16.6"	14	"2%"
2023-07-17	"XBB.1.16.8"	4	"1%"
2023-07-17	"XBB.1.16.9"	0	"0%"
2023-07-17	"XBB.1.42.2"	1	"0%"
2023-07-17	"XBB.1.5"	28	"5%"
2023-07-17	"XBB.1.5.10"	10	"2%"
2023-07-17	"XBB.1.5.44"	3	"1%"
2023-07-17	"XBB.1.5.49"	3	"1%"
2023-07-17	"XBB.1.5.72"	25	"4%"
2023-07-17	"XBB.1.9.1"	5	"1%"
2023-07-17	"XBB.1.9.2"	2	"0%"
2023-07-17	"XBB.2.3"	9	"2%"
2023-07-17	"XBB.2.3.11"	2	"0%"
2023-07-17	"XBB.2.3.2"	2	"0%"
2023-07-24	"DV.7.1"	0	"0%"
2023-07-24	"EG.1"	0	"0%"
2023-07-24	"EG.5.1"	47	"7%"
2023-07-24	"EG.5.1.1"	91	"14%"
2023-07-24	"EG.5.1.3"	3	"0%"
2023-07-24	"EG.5.1.4"	9	"1%"
2023-07-24	"EG.5.1.6"	7	"1%"
2023-07-24	"EG.5.2"	1	"0%"
2023-07-24	"EG.6.1"	18	"3%"
2023-07-24	"EG.7"	2	"0%"
2023-07-24	"FD.1.1"	7	"1%"
2023-07-24	"FK.1.1"	0	"0%"
2023-07-24	"FL.1.5"	0	"0%"
2023-07-24	"FL.1.5.1"	12	"2%"
2023-07-24	"FL.10.1"	19	"3%"
2023-07-24	"FL.15"	31	"5%"
2023-07-24	"FL.20"	0	"0%"
2023-07-24	"FL.4"	6	"1%"
2023-07-24	"FU.1"	2	"0%"
2023-07-24	"FU.2.1"	5	"1%"
2023-07-24	"FY.5"	4	"1%"
2023-07-24	"GE.1"	6	"1%"
2023-07-24	"GJ.1.2"	23	"4%"
2023-07-24	"GK.1.1"	0	"0%"
2023-07-24	"GK.2"	5	"1%"
2023-07-24	"GK.3.1"	0	"0%"
2023-07-24	"GW.1"	2	"0%"
2023-07-24	"HF.1"	1	"0%"
2023-07-24	"HK.3"	2	"0%"
2023-07-24	"HR.1"	3	"0%"
2023-07-24	"HV.1"	0	"0%"
2023-07-24	"other lineages"	140	"22%"
2023-07-24	"XBB.1.16"	46	"7%"
2023-07-24	"XBB.1.16.1"	23	"4%"
2023-07-24	"XBB.1.16.11"	8	"1%"
2023-07-24	"XBB.1.16.15"	0	"0%"
2023-07-24	"XBB.1.16.6"	17	"3%"
2023-07-24	"XBB.1.16.8"	4	"1%"
2023-07-24	"XBB.1.16.9"	2	"0%"
2023-07-24	"XBB.1.42.2"	7	"1%"
2023-07-24	"XBB.1.5"	30	"5%"
2023-07-24	"XBB.1.5.10"	12	"2%"
2023-07-24	"XBB.1.5.44"	18	"3%"
2023-07-24	"XBB.1.5.49"	1	"0%"
2023-07-24	"XBB.1.5.72"	4	"1%"
2023-07-24	"XBB.1.9.1"	3	"0%"
2023-07-24	"XBB.1.9.2"	0	"0%"
2023-07-24	"XBB.2.3"	13	"2%"
2023-07-24	"XBB.2.3.11"	1	"0%"
2023-07-24	"XBB.2.3.2"	4	"1%"
2023-07-31	"DV.7.1"	2	"0%"
2023-07-31	"EG.1"	1	"0%"
2023-07-31	"EG.5.1"	33	"6%"
2023-07-31	"EG.5.1.1"	78	"14%"
2023-07-31	"EG.5.1.3"	21	"4%"
2023-07-31	"EG.5.1.4"	9	"2%"
2023-07-31	"EG.5.1.6"	4	"1%"
2023-07-31	"EG.5.2"	1	"0%"
2023-07-31	"EG.6.1"	32	"6%"
2023-07-31	"EG.7"	2	"0%"
2023-07-31	"FD.1.1"	5	"1%"
2023-07-31	"FK.1.1"	1	"0%"
2023-07-31	"FL.1.5"	0	"0%"
2023-07-31	"FL.1.5.1"	19	"3%"
2023-07-31	"FL.10.1"	8	"1%"
2023-07-31	"FL.15"	2	"0%"
2023-07-31	"FL.20"	2	"0%"
2023-07-31	"FL.4"	4	"1%"
2023-07-31	"FU.1"	3	"1%"
2023-07-31	"FU.2.1"	5	"1%"
2023-07-31	"FY.5"	1	"0%"
2023-07-31	"GE.1"	3	"1%"
2023-07-31	"GJ.1.2"	37	"6%"
2023-07-31	"GK.1.1"	0	"0%"
2023-07-31	"GK.2"	4	"1%"
2023-07-31	"GK.3.1"	0	"0%"
2023-07-31	"GW.1"	0	"0%"
2023-07-31	"HF.1"	1	"0%"
2023-07-31	"HK.3"	0	"0%"
2023-07-31	"HR.1"	4	"1%"
2023-07-31	"HV.1"	2	"0%"
2023-07-31	"other lineages"	124	"22%"
2023-07-31	"XBB.1.16"	21	"4%"
2023-07-31	"XBB.1.16.1"	14	"2%"
2023-07-31	"XBB.1.16.11"	10	"2%"
2023-07-31	"XBB.1.16.15"	3	"1%"
2023-07-31	"XBB.1.16.6"	25	"4%"
2023-07-31	"XBB.1.16.8"	3	"1%"
2023-07-31	"XBB.1.16.9"	1	"0%"
2023-07-31	"XBB.1.42.2"	6	"1%"
2023-07-31	"XBB.1.5"	21	"4%"
2023-07-31	"XBB.1.5.10"	19	"3%"
2023-07-31	"XBB.1.5.44"	6	"1%"
2023-07-31	"XBB.1.5.49"	0	"0%"
2023-07-31	"XBB.1.5.72"	9	"2%"
2023-07-31	"XBB.1.9.1"	3	"1%"
2023-07-31	"XBB.1.9.2"	4	"1%"
2023-07-31	"XBB.2.3"	9	"2%"
2023-07-31	"XBB.2.3.11"	0	"0%"
2023-07-31	"XBB.2.3.2"	12	"2%"
2023-08-07	"DV.7.1"	0	"0%"
2023-08-07	"EG.1"	3	"0%"
2023-08-07	"EG.5.1"	41	"6%"
2023-08-07	"EG.5.1.1"	82	"12%"
2023-08-07	"EG.5.1.3"	45	"7%"
2023-08-07	"EG.5.1.4"	9	"1%"
2023-08-07	"EG.5.1.6"	9	"1%"
2023-08-07	"EG.5.2"	6	"1%"
2023-08-07	"EG.6.1"	31	"4%"
2023-08-07	"EG.7"	6	"1%"
2023-08-07	"FD.1.1"	7	"1%"
2023-08-07	"FK.1.1"	3	"0%"
2023-08-07	"FL.1.5"	0	"0%"
2023-08-07	"FL.1.5.1"	58	"8%"
2023-08-07	"FL.10.1"	8	"1%"
2023-08-07	"FL.15"	5	"1%"
2023-08-07	"FL.20"	4	"1%"
2023-08-07	"FL.4"	1	"0%"
2023-08-07	"FU.1"	11	"2%"
2023-08-07	"FU.2.1"	12	"2%"
2023-08-07	"FY.5"	0	"0%"
2023-08-07	"GE.1"	16	"2%"
2023-08-07	"GJ.1.2"	21	"3%"
2023-08-07	"GK.1.1"	2	"0%"
2023-08-07	"GK.2"	4	"1%"
2023-08-07	"GK.3.1"	0	"0%"
2023-08-07	"GW.1"	0	"0%"
2023-08-07	"HF.1"	1	"0%"
2023-08-07	"HK.3"	5	"1%"
2023-08-07	"HR.1"	5	"1%"
2023-08-07	"HV.1"	7	"1%"
2023-08-07	"other lineages"	118	"17%"
2023-08-07	"XBB.1.16"	22	"3%"
2023-08-07	"XBB.1.16.1"	15	"2%"
2023-08-07	"XBB.1.16.11"	3	"0%"
2023-08-07	"XBB.1.16.15"	1	"0%"
2023-08-07	"XBB.1.16.6"	33	"5%"
2023-08-07	"XBB.1.16.8"	3	"0%"
2023-08-07	"XBB.1.16.9"	1	"0%"
2023-08-07	"XBB.1.42.2"	9	"1%"
2023-08-07	"XBB.1.5"	21	"3%"
2023-08-07	"XBB.1.5.10"	21	"3%"
2023-08-07	"XBB.1.5.44"	2	"0%"
2023-08-07	"XBB.1.5.49"	1	"0%"
2023-08-07	"XBB.1.5.72"	5	"1%"
2023-08-07	"XBB.1.9.1"	9	"1%"
2023-08-07	"XBB.1.9.2"	4	"1%"
2023-08-07	"XBB.2.3"	15	"2%"
2023-08-07	"XBB.2.3.11"	0	"0%"
2023-08-07	"XBB.2.3.2"	7	"1%"
2023-08-14	"DV.7.1"	1	"0%"
2023-08-14	"EG.1"	2	"0%"
2023-08-14	"EG.5.1"	55	"5%"
2023-08-14	"EG.5.1.1"	108	"11%"
