"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"
"FL.2*"	0.0414215	0.02732	0.05553	26	"Ontario"
"GD.1"	0.041279	0.0248	0.05776	13	"Canada"
"FT*"	0.04112219	0.01986	0.06239	29	"British Columbia"
"XBB.1.5.30"	0.04104441	0.03115	0.05094	40	"Canada"
"GJ*"	0.04095793	0.02436	0.05755	53	"Alberta"
"XBB.2.3"	0.04093173	0.02568	0.05619	60	"British Columbia"
"EG.2"	0.04049974	0.02339	0.05761	17	"Ontario"
"FL*"	0.03994635	0.03465	0.04524	553	"Ontario"
"XBB.2.3.11"	0.03974017	0.02663	0.05285	33	"Ontario"
"FE.1.1"	0.03950269	0.02178	0.05722	20	"Quebec"
"FD*"	0.03921687	0.0208	0.05763	38	"British Columbia"
"XBB.2.3*"	0.03887511	0.03087	0.04688	120	"Quebec"
"XBB.1.5.62"	0.03884707	0.02298	0.05472	24	"Quebec"
"HE*"	0.03877955	0.02488	0.05268	28	"Ontario"
"XBB.1.16.1"	0.03864974	0.02204	0.05526	24	"Nova Scotia"
"XBB.1.5.89"	0.03864277	0.02368	0.0536	16	"Canada"
"XBB.1.16*"	0.03849646	0.02677	0.05022	326	"Alberta"
"FU.1"	0.0382231	0.02887	0.04757	45	"Canada"
"HQ*"	0.03813958	0.02435	0.05193	19	"Canada"
"DV.7"	0.03794772	0.02336	0.05253	17	"Canada"
"FL.13.3*"	0.03759096	0.01864	0.05654	14	"Ontario"
"FL.2*"	0.03755151	0.02495	0.05016	43	"Quebec"
"GJ*"	0.0373088	0.02319	0.05143	25	"Ontario"
"FE.1.1.1"	0.03727428	0.02203	0.05252	23	"Ontario"
"EG.1"	0.03690763	0.02318	0.05063	29	"Ontario"
"XBB.1.17.1"	0.03688918	0.01756	0.05622	16	"Quebec"
"GA*"	0.03688918	0.01756	0.05622	16	"Quebec"
"XCF.2"	0.03677151	0.01679	0.05675	15	"Quebec"
"XCF*"	0.03677151	0.01679	0.05675	15	"Quebec"
"XBB.2.3"	0.03671672	0.01898	0.05445	15	"Ontario"
"HM*"	0.03669314	0.0285	0.04489	59	"Canada"
"FL.2"	0.03659636	0.02311	0.05008	37	"Quebec"
"XBB.1.16.11"	0.03658268	0.02078	0.05239	27	"New Brunswick"
"XBB.2.3*"	0.0365123	0.0258	0.04722	147	"British Columbia"
"XBB.1.5.28"	0.03638361	0.02402	0.04874	24	"Canada"
"FU.2*"	0.03637864	0.02704	0.04571	45	"Canada"
"FK.1.1*"	0.03614829	0.02346	0.04884	23	"Canada"
"XBB.1.5.44"	0.03611305	0.0251	0.04712	48	"Ontario"
"HT.1"	0.03599993	0.00841	0.06359	15	"British Columbia"
"XBB.2.3.2"	0.03582449	0.01881	0.05284	17	"Ontario"
